Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.221504310826524e-06,1.9810149699624292e-07,3.064054622065159e-06,4.727415173833635e-06
175 - 200 m,4.580776857668311e-06,6.276313834213055e-06,0.0001475699209873555,0.00025610324068185
200 - 225 m,3.389067916902831e-08,8.859095147342163e-06,1.0973830785718058e-06,2.1751068675769025e-06
225 - 250 m,1.0253343168901809e-07,2.6779887337905893e-05,3.3207232039836914e-06,6.594715118710797e-06
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,1.4410195234870045e-09,3.744435789592053e-07,4.6765625339776956e-08,9.293934991103516e-08
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
