Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,0.0001036039420685761,0.00026557789225255957,0.000265084991184611,0.00010371807956935386
175 - 200 m,0.0007976898571549132,0.0017269292816317141,0.0017237085703466597,0.0007988163756320408
200 - 225 m,7.786926352564244e-05,0.00013816157545784303,0.0001378772512051133,7.802919916053853e-05
225 - 250 m,0.00011710581114777565,0.00019387312570756944,0.0001934628560656028,0.00011737110231849215
250 - 275 m,1.1916980639356087e-06,1.7964769161886624e-06,1.7931477015338702e-06,1.1941278302677455e-06
275 - 300 m,3.4044170746483142e-06,4.666544207460308e-06,4.657031919292317e-06,3.4128918784620645e-06
300 - 325 m,3.6995181147380853e-07,4.919072248102092e-07,4.908778878515752e-07,3.7092340678324576e-07
325 - 350 m,4.5533053696944623e-07,5.770044674920407e-07,5.760724277039612e-07,4.5623905282627923e-07
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
