Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,8.743187203118486e-06,1.4647434547324504e-05,1.82460782744718e-05,7.644338995178181e-06
175 - 200 m,0.0001290948318536068,0.00017417959392064593,0.0002301230154493003,0.00011705868347452596
200 - 225 m,6.239323891562104e-06,7.454598176254408e-06,1.0111815112334485e-05,5.77278929324383e-06
225 - 250 m,1.4491194291326175e-05,1.519008258913264e-05,2.099413938927033e-05,1.3749601526853259e-05
250 - 275 m,2.399833851995131e-07,1.7659647824271106e-07,2.9091642177960696e-07,2.3827602652172383e-07
275 - 300 m,1.8817389578897362e-07,1.6589485185005601e-07,2.3267298208930797e-07,1.8465559979478418e-07
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,1.0928799996194391e-06,4.218327223504083e-07,9.980668026554806e-07,1.151747536133284e-06
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
