Ship Length,Pier 1,Pier 2
150 - 175 m,0.0012359074884586152,0.000274951961677512
175 - 200 m,0.0072961465436036,0.001504924966543655
200 - 225 m,0.00041701000747287507,8.67083512512508e-05
225 - 250 m,0.0008969309106801784,0.00017826279936946474
250 - 275 m,1.4403895411734972e-06,2.4585868309737236e-07
275 - 300 m,3.0092153838336268e-05,5.51526181291697e-06
300 - 325 m,8.216308004233441e-07,1.4824444395794024e-07
325 - 350 m,2.448122840492373e-06,2.4766266065672365e-07
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
