Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,1.8383446658587703e-05,2.6796074111272646e-05,2.5456841640395074e-05
175 - 200 m,0.00024444314180599284,0.00033567866857584807,0.00032190486734877524
200 - 225 m,1.1319264980729437e-05,1.505372579682969e-05,1.4517518162326677e-05
225 - 250 m,2.3071511158310432e-05,2.960782202978929e-05,2.8757501767665384e-05
250 - 275 m,3.656311880367169e-07,4.4112900885513607e-07,4.317529255689086e-07
275 - 300 m,2.590911426377372e-07,3.1675787865174613e-07,3.1074937123455903e-07
300 - 325 m,0.0,0.0,0.0
325 - 350 m,1.6304542773445179e-06,1.8628232784003088e-06,1.836299990842738e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
