Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.0001340513979640892,0.00015538650503573042,6.899521010630705e-05
175 - 200 m,0.0007734706947898488,0.0008692134463484556,0.000445503292199613
200 - 225 m,8.757945471852006e-05,9.503822088685078e-05,5.310046173630672e-05
225 - 250 m,5.2442801679008114e-05,5.645717690532679e-05,3.351432227925551e-05
250 - 275 m,1.2069373990283693e-06,1.2746509581851983e-06,7.867106340469531e-07
275 - 300 m,9.827434011146706e-07,1.0280889658320414e-06,7.126443266686131e-07
300 - 325 m,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
