Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.00013596923539368352,0.0001554093548481005,7.053029229180403e-05
175 - 200 m,0.0007867142050849063,0.0008743151109130822,0.00045592837294811133
200 - 225 m,8.951982261737632e-05,9.63646943289801e-05,5.4537647118286606e-05
225 - 250 m,5.223853615665846e-05,5.5830432941831114e-05,3.3520528819577955e-05
250 - 275 m,1.211968030509048e-06,1.272896051579954e-06,7.924330783177962e-07
275 - 300 m,9.86093538943185e-07,1.0269307266183033e-06,7.168834067525176e-07
300 - 325 m,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
