Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.424253140663622e-05,1.3171556181105745e-05,1.1627455672965119e-05,8.370328726754557e-06
175 - 200 m,0.00038486496851098176,0.0003043911696007706,0.00025193988442334794,0.0002088018337472295
200 - 225 m,2.0847829273968226e-06,1.455110398595321e-06,1.1289192859412712e-06,1.063285021338652e-06
225 - 250 m,2.194157492526757e-06,1.3969419232808967e-06,1.0406665745794418e-06,1.0751661194454435e-06
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
