Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.3009966622527865e-06,2.6998480160176967e-05,4.366854620565511e-05,3.192632490025662e-06
175 - 200 m,5.170264487907388e-05,0.000501284888303636,0.0007263719809246389,0.00010467074288738576
200 - 225 m,8.198510113115741e-06,6.154137918289591e-05,8.585588700440167e-05,1.551776535213699e-05
225 - 250 m,8.623438887051014e-06,3.837341411547849e-05,4.960965803247711e-05,1.4202444585471498e-05
250 - 275 m,6.498719089977111e-08,2.519263223439768e-07,3.2032245960507865e-07,1.0664112300153591e-07
275 - 300 m,6.83928450864376e-08,1.9921303620639509e-07,2.41948205448543e-07,1.0027968634477709e-07
300 - 325 m,8.66842644253986e-08,2.3450743089227866e-07,2.826591910835747e-07,1.2784416485322953e-07
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
