Ship Length,Pier 1,Pier 2
150 - 175 m,0.00010959995247508084,0.00010217112204403622
175 - 200 m,0.0004046971253315452,0.0004423954652729561
200 - 225 m,0.00011713964479422576,0.00013384077707041749
225 - 250 m,2.1824671918190486e-05,2.5747233804849412e-05
250 - 275 m,0.00012621077620878377,0.0001650937973895282
275 - 300 m,4.893704097315978e-05,6.563407179620692e-05
300 - 325 m,5.1553061999326835e-05,7.92510981682332e-05
325 - 350 m,4.1305396670043985e-05,6.631785786036611e-05
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
