Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.5524138022843415e-05,0.00030002014543206143,0.0001578953492918899,4.576729559363655e-06
175 - 200 m,0.0001522836976667828,0.0013345009149588007,0.0008195375962271616,5.9868660949635656e-05
200 - 225 m,0.00014340252645272586,0.0006929503587416319,0.00047553374049357953,6.923015515503933e-05
225 - 250 m,0.00027580699056325606,0.0009192953213715641,0.0006803104448032018,0.0001537453354025002
250 - 275 m,0.00022610530436432892,0.0005333152239793552,0.0004220367439252448,0.00014304562768650058
275 - 300 m,0.0001123580584963584,0.0002096234560900288,0.0001720318114092516,7.585902936036416e-05
300 - 325 m,4.4261196444702494e-05,7.733101060511567e-05,6.476262760884256e-05,3.11568226377342e-05
325 - 350 m,4.909032412092519e-06,7.240985239470666e-06,6.2721455042955446e-06,3.6858271769297854e-06
350 - 375 m,2.8088161400882784e-06,3.6314698083774743e-06,3.226299525599201e-06,2.213079259178439e-06
375 - 400 m,2.905354022228792e-07,3.4504812531409746e-07,3.125521662687363e-07,2.3778482370645925e-07
Above 400 m,4.683894432961434e-06,2.6524860447970193e-06,2.686361366886196e-06,4.694036353961167e-06
