Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,3.89357475159132e-06,0.00013463381515170164,0.000332984745240034,1.8456252936199245e-05
175 - 200 m,5.2823921156561475e-05,0.0007219085144635296,0.0014491256547386627,0.00017436914696922554
200 - 225 m,6.273655658706138e-05,0.00042702060566702073,0.0007404964821532787,0.00016005698619413645
225 - 250 m,0.00014251199048644422,0.0006258466775824401,0.000977289835391,0.0003035167910962179
250 - 275 m,0.00013398242869072107,0.00039170358024272027,0.0005585800676025014,0.00024347401853111933
275 - 300 m,7.197797820661173e-05,0.0001611886371373214,0.0002204661363980497,0.00012087166634233086
300 - 325 m,3.0103695497218366e-05,6.183088309714678e-05,8.17440888567632e-05,4.786315556708577e-05
325 - 350 m,3.6910982157153774e-06,6.2026664138992355e-06,7.827533895438865e-06,5.411549683125028e-06
350 - 375 m,2.1316704623032167e-06,3.070083309561301e-06,3.744262484347143e-06,2.942986215212666e-06
375 - 400 m,2.3013148749710358e-07,2.9902527834065174e-07,3.5443399065834757e-07,3.0269775205047213e-07
Above 400 m,4.412483430270335e-06,2.4545679929034226e-06,2.5617641766466866e-06,4.540238124038299e-06
