Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,2.500070442722411e-05,0.0003211586474037854,0.0003077076200568028,1.3478327730952538e-05
175 - 200 m,0.0003318268937262445,0.0023477191619868535,0.002356813185424423,0.00019483478591880672
200 - 225 m,9.187195565943999e-05,0.0004970620095437005,0.0005100152782197657,5.65258991213383e-05
225 - 250 m,0.00020266244338615832,0.0008474596022729445,0.0008883553388196033,0.00013044643958959546
250 - 275 m,0.0001077646575573363,0.0003406519541139485,0.0003651765311870902,7.248658727762534e-05
275 - 300 m,0.0003369620869775912,0.0008746400061497529,0.0009546200166835666,0.00023192778219276663
300 - 325 m,0.00010651377754764789,0.00025167753640600594,0.00027679159086704016,7.400013010546882e-05
325 - 350 m,0.00011686859504110877,0.0002416150091418718,0.00026910843474396327,8.216400142937831e-05
350 - 375 m,5.0902065470398615e-05,9.617573918337616e-05,0.00010796054155742499,3.631993623271928e-05
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,2.4344460317332823e-07,2.989304281433769e-07,3.47481155427671e-07,1.8898776721708864e-07
