Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.7682304292976183e-05,0.00032254115137398634,0.00040258565520811623,2.5935462235460426e-05
175 - 200 m,0.00025777902110554675,0.0024783652197814844,0.0029463545162766876,0.0003447054590997315
200 - 225 m,7.556751577971157e-05,0.0005403960459971929,0.0006275561636710158,9.620621476840982e-05
225 - 250 m,0.00017325363068731526,0.0009367646915633586,0.0010641145846573736,0.0002107264631174773
250 - 275 m,9.763322872273227e-05,0.00038960751579440446,0.0004321927829618089,0.00011322437677738048
275 - 300 m,0.000314724417864074,0.0010218020693656992,0.0011158306545246879,0.0003545522841273416
300 - 325 m,0.00010051285345647268,0.0002959694259205075,0.00032083634639335813,0.00011176878789616224
325 - 350 m,0.00011349895900463409,0.0002908154508551574,0.00031194494338378307,0.00012385387397521202
350 - 375 m,5.0370515524132274e-05,0.00011707057648493419,0.00012461084134908178,5.410208247811335e-05
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,3.797211193862194e-07,5.526224534616447e-07,5.664260613668216e-07,3.7601342579598023e-07
