Ship Length,Pier 1,Pier 2
150 - 175 m,2.8676438225630425e-06,1.5769127701608018e-06
175 - 200 m,3.263212268924991e-05,3.834349560515036e-05
200 - 225 m,1.1708709757466318e-05,1.6713944385428095e-05
225 - 250 m,5.2765490156490524e-05,7.411199566036325e-05
250 - 275 m,7.380399953090386e-05,0.00010575105272259671
275 - 300 m,0.0002041747880119504,0.0002343532698953515
300 - 325 m,8.167475646236066e-05,9.418148499033058e-05
325 - 350 m,0.00022205763583369308,0.00022695510429175303
350 - 375 m,9.668136262713992e-05,9.118416344940162e-05
375 - 400 m,1.2871676448152816e-06,1.191802157835724e-06
Above 400 m,1.657290192751859e-07,8.70999132841539e-08
