Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,0.0,0.0,0.0,0.0
175 - 200 m,1.1703022727549263e-05,1.579140109208544e-05,1.0285141117260878e-05,9.941181779127987e-06
200 - 225 m,1.8453293081327787e-06,2.4072207108357343e-06,1.5736640592210244e-06,1.5578924821169227e-06
225 - 250 m,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
