Ship Length,Pier 1,Pier 2
150 - 175 m,0.00023433158982027365,9.861886778949934e-05
175 - 200 m,0.002442821346528004,0.0008460609837779206
200 - 225 m,0.00017144907094988383,6.356709130705092e-05
225 - 250 m,0.0018225975939580752,0.00044599376808851846
250 - 275 m,0.0002841355144344127,5.890470244466208e-05
275 - 300 m,4.499583115734897e-05,1.718762899906355e-05
300 - 325 m,2.900136289004553e-07,7.018599022401592e-08
325 - 350 m,2.508606816148357e-06,4.796559257834675e-07
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
