Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.0473044237613548e-05,1.913568206854863e-05,2.0207275563398256e-05,1.0408461871246194e-05
175 - 200 m,7.020633798191539e-05,0.00012333296612821744,0.0001298682047755152,6.978491852837589e-05
200 - 225 m,9.371136511020035e-07,1.4456758867377358e-06,1.507833461582745e-06,9.331305632560731e-07
225 - 250 m,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,7.49261729372523e-07,1.1152623193301361e-06,1.1594849834877952e-06,7.45658620098777e-07
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,4.218181022757226e-07,5.824767678788506e-07,6.01842871390483e-07,4.202276950779534e-07
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
