Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,3.4905411894214923e-19,8.159476533976307e-08,1.4582890636560663e-06,2.9174838545214783e-17
175 - 200 m,1.0074504563917232e-13,3.6880372837183406e-06,2.4584386139088464e-05,2.6846989527852555e-12
200 - 225 m,6.5363324133205224e-12,8.394964589268246e-06,3.9390864302735095e-05,9.138981851050888e-11
225 - 250 m,7.092428057120515e-11,1.1262536142778468e-05,4.261555385523832e-05,6.610758853181687e-10
250 - 275 m,3.067946190706828e-10,4.678221343274955e-06,1.3764162067550402e-05,1.8158232996175519e-09
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,9.833551095874205e-08,7.753053086165826e-05,0.00016695759227115797,3.2643654221209626e-07
325 - 350 m,4.2469843501052654e-08,1.1433653280783169e-05,2.1993056997270386e-05,1.1418714377061596e-07
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
