Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,7.510320445471024e-07,1.2955164291475629e-05,0.00014767940908901484,7.731221549455767e-05
175 - 200 m,1.5151651711078681e-05,0.00010485247031008999,0.0005325690665268589,0.0003355907415033616
200 - 225 m,2.6899481598228563e-05,0.00012470928421471538,0.00044345033028276356,0.00030266315940736144
225 - 250 m,2.606660549179345e-05,0.00011088797109841308,0.00036546846772246463,0.00025387900396025545
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
