Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,0.00011633920969614947,4.5231195971452825e-05,6.0548963183781434e-05,0.00011783073183817166,8.88435081329553e-05
175 - 200 m,0.001349230187153314,0.000333336786609241,0.0004708065984929592,0.0013786735873137944,0.001016556860474846
200 - 225 m,0.00010009395607056978,2.5876226824575135e-05,3.572462557633022e-05,0.00010272294417462552,8.033772659151127e-05
225 - 250 m,0.0013923027412114865,0.00016293160031218527,0.0002532386864867567,0.0015813628302229648,0.0011516427942649698
250 - 275 m,0.00021960146000462723,1.6294656536389348e-05,2.2554344151590636e-05,0.00026318482052100094,0.00018760449431674792
275 - 300 m,2.4485547669007584e-05,3.41459146842053e-06,5.105138583259124e-06,2.7117986059142953e-05,2.0763986589062688e-05
300 - 325 m,0.0,0.0,0.0,0.0,0.0
325 - 350 m,1.6573381199295294e-06,2.5138050731518464e-06,2.5807132765533298e-06,2.1953734740596073e-06,1.507520968268439e-06
350 - 375 m,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0
