Ship Length,Pier 1,Pier 2
150 - 175 m,3.5255120907198696e-05,4.028231257551451e-05
175 - 200 m,0.0004769170469862734,0.0005820698120430615
200 - 225 m,4.640844529090023e-05,5.652287565876331e-05
225 - 250 m,6.142034223336276e-05,7.410565536717606e-05
250 - 275 m,2.9470391042428326e-07,3.7820439696252906e-07
275 - 300 m,2.4953478110514846e-07,2.963207009670772e-07
300 - 325 m,0.0,0.0
325 - 350 m,0.0,0.0
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,8.12946105324085e-08,8.268697203384567e-08
