Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,8.191297664985222e-06,6.409515651583057e-05,8.549119075180499e-05,8.306350045773062e-05,5.164862947879702e-05
175 - 200 m,0.00011147817133382227,0.0005225804093309997,0.0004990192493515792,0.0005377074179250113,0.0003646433990658092
200 - 225 m,2.329875954138414e-05,7.408180633411521e-05,6.169068525959184e-05,0.00015683494589316459,0.00013751945630602477
225 - 250 m,0.00015383980466499665,0.00039805326471520315,0.00031129573770163346,0.0004831153742161833,0.000395755641222031
250 - 275 m,0.00010709543822438003,0.00019717831353520998,0.00013227130763799857,0.0004507450930093183,0.0004156624870264129
275 - 300 m,0.00011562777893787741,0.00018293938768657896,0.00018949362867629296,0.0007094069476236563,0.000681041212781151
300 - 325 m,4.820615508703804e-05,8.111285891625323e-05,0.00011061376605382128,0.0003574388761248898,0.0003425013329854152
325 - 350 m,7.254789548911307e-05,0.0001122437525524952,0.00025834443364467424,0.0007583808410775973,0.0007348047707054059
350 - 375 m,1.6984473333569943e-05,3.5558684253418555e-05,0.00012445484718344045,0.00028120049688318987,0.0002695800150964478
375 - 400 m,7.910585719615949e-09,5.650686141043239e-07,2.9733630227997466e-06,3.830096048091168e-06,2.6667953531911364e-06
Above 400 m,2.0583075448485337e-11,1.2092339051804163e-08,1.5101119012345977e-07,3.5841505535814396e-07,3.56243457184128e-07
