Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,6.077121442695279e-06,3.561635532178679e-05,7.193142543435701e-05,7.196092613997665e-05,8.53806762933239e-05
175 - 200 m,8.257349815042766e-05,0.00029083465234098176,0.0003918679289457817,0.0004970709589969782,0.0006084446819213089
200 - 225 m,1.5027722616385439e-05,3.3117337008300316e-05,3.4395417205223045e-05,0.00014494058554796773,0.00019298863146395475
225 - 250 m,0.00010755232983466375,0.00021020574358776825,0.00020053328598488435,0.0004894808306215936,0.0005888890555182034
250 - 275 m,4.8139854350428424e-05,7.101016666314025e-05,7.624434527984922e-05,0.0004594669708015786,0.0005702613886769804
275 - 300 m,1.4010652695531482e-05,1.9015933471439794e-05,0.0001116223289618269,0.000734002063558597,0.0008951473657592122
300 - 325 m,4.392372011973711e-06,7.893908681397255e-06,6.990816135994199e-05,0.00036864426823428895,0.0004386422415699107
325 - 350 m,2.8227934677817276e-06,1.2655070414691368e-05,0.00019399019523475306,0.0007587051786867853,0.0008804427519720963
350 - 375 m,2.5816637458830906e-06,9.250446614837862e-06,9.446868220684666e-05,0.0002758814351466496,0.0003120819208195427
375 - 400 m,1.044339025350534e-08,6.464351726879906e-07,3.057436290731456e-06,3.927955231209097e-06,3.0190707781156637e-06
Above 400 m,1.4073697221199578e-07,1.345980187832292e-07,2.0012736480658665e-07,1.3761668918216242e-07,1.401358252668423e-07
