Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.007237265510545e-08,1.0369076986188049e-07,1.4596195450867229e-06,1.9590688720734803e-06
175 - 200 m,7.409067786816849e-07,5.3413834615667636e-06,4.958028342354375e-05,6.23333684707814e-05
200 - 225 m,7.809857135065184e-07,3.274399747675842e-06,1.4920945736489504e-05,1.529642165956877e-05
225 - 250 m,7.026303163862428e-06,2.6279514133576496e-05,0.00010253626656215138,0.00010002931348379242
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,1.7868675078996012e-07,3.769041177314486e-07,7.575228625248331e-07,6.737078713653413e-07
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
