Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,8.557792914460164e-05,8.919679379920862e-05,4.0318578909892725e-06
175 - 200 m,0.0026758627055789705,0.0027630752775575224,0.0002456956353000782
200 - 225 m,0.00036607368174853275,0.0003775804999430149,3.616766344991123e-05
225 - 250 m,0.0005758329760330025,0.0005909999592571259,7.715946071092745e-05
250 - 275 m,2.6769746248263522e-05,2.7361007546074576e-05,4.693563493693817e-06
275 - 300 m,2.632000074706719e-06,2.684354222398416e-06,5.304379178633934e-07
300 - 325 m,0.0,0.0,0.0
325 - 350 m,7.538445839215838e-07,7.656529032753227e-07,2.3169404065030674e-07
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
