Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,5.510354797201437e-05,0.00042347903856527325,0.0003331743018478473
175 - 200 m,0.0004931694982270232,0.002415175490633927,0.0020050515086295012
200 - 225 m,3.869835705599634e-05,0.00013603713663612062,0.0001176077756446091
225 - 250 m,0.00017431387096453272,0.00047188268124648324,0.0004206767923566586
250 - 275 m,2.2277746023197208e-05,5.163752459949744e-05,4.687042255200516e-05
275 - 300 m,7.592862989398139e-06,1.4717571176025e-05,1.3653589482654072e-05
300 - 325 m,8.667366739435312e-07,1.571913077608951e-06,1.4704836292117243e-06
325 - 350 m,5.141930720990706e-06,8.31308312348139e-06,7.88152768635001e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,6.895708203056466e-07,9.504747488321503e-07,9.188947120709222e-07
