Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.27269408084623e-05,3.076832540147919e-05,3.08256415940773e-05,2.0120867316701583e-05
175 - 200 m,0.00018581053579414463,0.00038327975891648346,0.00038387692470120353,0.00026709576673238837
200 - 225 m,8.534167796757071e-06,1.600977259817353e-05,1.6031933020218305e-05,1.1533996077124265e-05
225 - 250 m,1.906313319676093e-05,3.178003372271376e-05,3.181749689621763e-05,2.3721067997202607e-05
250 - 275 m,3.2944441133918723e-07,4.810509294511818e-07,4.814797612148151e-07,3.850229033240409e-07
275 - 300 m,2.473715961523665e-07,3.493901199004067e-07,3.497024555731283e-07,2.7356109512856475e-07
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,1.5385143767501402e-06,1.98606625915067e-06,1.987314049960811e-06,1.6905446798489071e-06
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
