Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,2.0857013166036282e-05,0.00019699582368062478,0.00019368118760400152,1.8960817780013257e-05
175 - 200 m,0.0002758765310040351,0.0014841532397891998,0.001462972314564851,0.00025504501592746147
200 - 225 m,0.00010441430417417193,0.0004030554218710408,0.0003976517752057918,9.731746289596933e-05
225 - 250 m,0.00023277465965472222,0.000665659717491692,0.0006572247099448587,0.0002185051202523806
250 - 275 m,0.00014808081978711385,0.00031290018939384204,0.00030923658665061237,0.00014008272559347276
275 - 300 m,0.0004796852697028905,0.000845177044995749,0.0008360860919249963,0.00045637737481540235
300 - 325 m,0.00015442025327201225,0.0002511157678362247,0.00024854384679193025,0.00014733081511874912
325 - 350 m,0.00017442343520112375,0.00025259896173482723,0.00025019192900718404,0.00016708170517449678
350 - 375 m,7.817731956525663e-05,0.00010219264327427815,0.0001012464642900382,7.506789289733606e-05
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,4.689871039790732e-07,3.559475539591306e-07,3.5297566925562585e-07,4.553053571808388e-07
