Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,8.287240612562196e-06,0.00016975167991146366,0.00020306792112674468,1.0985076720724863e-05
175 - 200 m,0.00013940014461837058,0.0014752660565949386,0.0016916233626995299,0.00017297270559932931
200 - 225 m,5.005911122180042e-05,0.0003821970840553695,0.00042828907215962977,5.989100553427287e-05
225 - 250 m,0.00011487206294214249,0.0006430596748030092,0.0007048985351361999,0.0001327082273538204
250 - 275 m,7.283806203049146e-05,0.00029450793593834864,0.0003157233471532536,8.124384174877441e-05
275 - 300 m,0.00024412126029778374,0.0007929745105215675,0.0008385095897152728,0.0002665237808782686
300 - 325 m,8.118848086070653e-05,0.00023816090685329364,0.00025028203613059716,8.77884763856953e-05
325 - 350 m,9.419541512439826e-05,0.0002387525214495823,0.00024867372530172264,0.00010044357345437937
350 - 375 m,4.33545110487692e-05,9.889880149052735e-05,0.0001022485117338185,4.5691341453990936e-05
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,1.0247440211321679e-07,1.550486469186856e-07,1.5374835014851463e-07,1.0084876923029506e-07
