Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11
150 - 175 m,2.7719160300421212e-17,2.13841211404997e-15,3.9151618480559593e-13,4.364986470672961e-11,4.227726163512635e-09,2.4720705249033785e-07,5.37335161880254e-06,4.542148540165353e-05,0.0001612462227452227,0.00015367167933596224,3.5746112017139555e-05
175 - 200 m,3.744769561109251e-14,1.313578503303603e-12,9.43556288315328e-11,4.501438406117053e-09,1.911334758883463e-07,5.388501719116448e-06,6.737530504296646e-05,0.00038901217012652885,0.0011004543379905306,0.0010555519749954495,0.0003190981323870127
200 - 225 m,1.5378029190049605e-12,2.1474539009025407e-11,5.120604507553584e-10,8.951827741808583e-09,1.4308134783042938e-07,1.710050506158577e-06,1.1140962997213352e-05,4.115451466092235e-05,8.912185356999961e-05,8.58998279484305e-05,3.53755403726758e-05
225 - 250 m,1.8479297533513515e-11,1.877090296344974e-10,3.0576136750251054e-09,3.7784942479603957e-08,4.3091745639206236e-07,3.82820662715905e-06,1.99094416073447e-05,6.301944527411729e-05,0.0001244295840685063,0.00012014306576004577,5.505715253131656e-05
250 - 275 m,3.647298293385504e-12,2.3945205372521984e-11,2.3060019106235786e-10,1.7753557984663274e-09,1.2809527856391778e-08,7.539608291444645e-08,2.8743786261343287e-07,7.321605661205448e-07,1.2717507596792658e-06,1.2363322165783989e-06,6.56244818492014e-07
275 - 300 m,1.8603617902579473e-10,7.85759739102776e-10,4.466562384936701e-09,2.1246145692847884e-08,9.587658036878045e-08,3.746499138624473e-07,1.045712495458424e-06,2.1537284631388387e-06,3.29281727382206e-06,3.2049270583948805e-06,1.972466918406408e-06
300 - 325 m,5.0817789514434604e-11,1.8642595612572423e-10,8.954231015829705e-10,3.6519801795202865e-09,1.4186099425284482e-08,4.863100054891456e-08,1.2286474997204188e-07,2.364228757638691e-07,3.470160590999836e-07,3.379020202443669e-07,2.1803059414068048e-07
325 - 350 m,2.8739369535246693e-10,8.475500711444539e-10,3.122373637475029e-09,1.0071247700999209e-08,3.123993655348545e-08,8.683381127616064e-08,1.8759515464847533e-07,3.2242688193273825e-07,4.433584423809738e-07,4.347004649385617e-07,3.019733486500711e-07
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
