Ship Length,Pier 1,Pier 2
150 - 175 m,8.788320835614325e-06,5.6804469143551156e-05
175 - 200 m,0.00012092391194963292,0.0005015761693144324
200 - 225 m,1.5743136061821933e-05,5.1334003472769395e-05
225 - 250 m,1.9937182103681756e-05,5.1686155389743654e-05
250 - 275 m,1.5837874811853645e-06,3.2876544830896534e-06
275 - 300 m,4.887976029871206e-07,9.029408285312117e-07
300 - 325 m,1.9747542895275608e-07,3.4636415845505186e-07
325 - 350 m,1.3828620389981716e-06,2.203091582158286e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
