Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6
150 - 175 m,7.87333069778428e-06,1.5190575846207757e-05,1.0194918236619684e-05,6.623857886565906e-06,2.7161517805279657e-06,7.606821598847168e-07
175 - 200 m,0.00012317308140409616,0.00019313121971466547,0.00012569609581193584,0.00010433718260881724,5.196959552678566e-05,1.873251429829263e-05
200 - 225 m,5.645834686347303e-06,7.854893464451419e-06,5.056643116057809e-06,4.807108199695616e-06,2.695225820919368e-06,1.1348707622746053e-06
225 - 250 m,1.3126986487428777e-05,1.601699101855427e-05,1.033688181721423e-05,1.127871999808756e-05,7.336744270452993e-06,3.7628912646345154e-06
250 - 275 m,2.4228863003956204e-07,2.1675766856678365e-07,1.244446783896405e-07,2.0669561431363072e-07,1.5775052738062148e-07,9.870551072653751e-08
275 - 300 m,1.8474639441781685e-07,1.8792053247504512e-07,1.2227001254124133e-07,1.6070691555405316e-07,1.2901572267415344e-07,8.7564541920566e-08
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,1.1614011085621775e-06,5.542585475766763e-07,3.906932223296089e-07,9.695969246816096e-07,8.704090396145404e-07,6.585442379370384e-07
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0
