Ship Length,Pier 1,Pier 2
150 - 175 m,0.0008924944925928135,0.00020370626161435968
175 - 200 m,0.005500494054684875,0.0011619256854917468
200 - 225 m,0.00031361823991075315,6.679329833826679e-05
225 - 250 m,0.0006872074382078912,0.00013976963140296315
250 - 275 m,1.1496590660179073e-06,2.0034876779845417e-07
275 - 300 m,2.3647606112473585e-05,4.429229450600232e-06
300 - 325 m,6.480163831471246e-07,1.1946070436872998e-07
325 - 350 m,2.0510314045276523e-06,2.1113663998396967e-07
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
