Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.3161609879617838e-05,9.857429903504016e-06,8.077328974649509e-06,7.91965017220065e-06
175 - 200 m,0.0003586832410417745,0.00023277354087800653,0.00017957388081913024,0.00019830469531939882
200 - 225 m,1.954003888119579e-06,1.1299107030066883e-06,8.195475039478741e-07,1.0126075802732819e-06
225 - 250 m,2.0616978842030237e-06,1.0921751802725914e-06,7.616581540020961e-07,1.0256140063483325e-06
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
