Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,8.603311933934624e-06,7.758015993036864e-06,9.682121127719745e-06,1.3078751215002133e-05
175 - 200 m,0.00022325576558216367,0.00016850433245304799,0.00021995542619050019,0.00032727382768386214
200 - 225 m,1.1952396594526872e-06,7.749514597102327e-07,1.0586216636705033e-06,1.7122486597249995e-06
225 - 250 m,1.2481131982044464e-06,7.233508875464127e-07,1.0133130468872577e-06,1.753224976526709e-06
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
