Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9
150 - 175 m,3.6006547343703235e-13,2.704653057716833e-11,1.2061834484791146e-09,3.288696025164261e-08,5.555721033707648e-07,6.431845112272015e-06,0.0002437517993458455,0.00024487296196781127,6.22578442308923e-06
175 - 200 m,2.1212982738383347e-10,5.613464270215474e-09,9.977614508478316e-08,1.2226334189857268e-06,1.0407714503908125e-05,6.699408944608166e-05,0.001069381517328985,0.0010689966004921543,6.522262606313252e-05
200 - 225 m,2.39290836770234e-09,3.148793074471468e-08,3.0124838606789053e-07,2.156930531537253e-06,1.1564026804404978e-05,5.05216205765304e-05,0.000457459054018143,0.0004542859480929764,4.9255463281282405e-05
225 - 250 m,3.689768966606177e-08,2.9023657974758563e-07,1.7672562907041548e-06,8.53711456958753e-06,3.270202934591936e-05,0.00010662240880910394,0.0006255099451178799,0.0006209372657633454,0.00010439241952630736
250 - 275 m,1.5870405631917907e-07,8.295094060510773e-07,3.519413621670495e-06,1.2422193354152416e-05,3.6348095830020844e-05,9.427587197957944e-05,0.0003950516607860568,0.00039115307350446276,9.246255737870165e-05
275 - 300 m,2.26900737065842e-07,9.350606839799893e-07,3.2031115160272987e-06,9.401132891465495e-06,2.3431458782042545e-05,5.352756095762133e-05,0.0001870210916630949,0.00018418305882141089,5.240673183868267e-05
300 - 325 m,1.798656335758091e-07,6.393061867195975e-07,1.9300391126533887e-06,5.068018333359461e-06,1.1507670903814658e-05,2.4031357715531296e-05,7.31487067801302e-05,7.22944753355652e-05,2.3616836990783314e-05
325 - 350 m,4.7917713785252664e-08,1.3609175880461022e-07,3.3718894680232036e-07,7.455892571387878e-07,1.461295099808166e-06,2.68844198109599e-06,6.784300093797331e-06,6.70078792435859e-06,2.64591604061773e-06
350 - 375 m,5.1879190317239976e-08,1.247246158269044e-07,2.667244735806753e-07,5.189699213539855e-07,9.114391705099611e-07,1.5271637025658813e-06,3.357670142196236e-06,3.313393135866182e-06,1.5041990256405328e-06
375 - 400 m,9.262649086678732e-09,1.9481717288954094e-08,3.706586129511691e-08,6.512700369959523e-08,1.0486487881859997e-07,1.626930908312183e-07,3.187686765467144e-07,3.1475440588740823e-07,1.604895315517081e-07
Above 400 m,4.585817064685319e-06,4.585817064685319e-06,4.585817064685319e-06,4.585817064685319e-06,4.585817064685319e-06,4.585817064685319e-06,4.585817064685319e-06,4.585817064685319e-06,4.585817064685319e-06
