Ship Length,Pier 1,Pier 2
150 - 175 m,0.0001988239630326025,0.0008254530111450673
175 - 200 m,0.0024168179835328233,0.007441340558996698
200 - 225 m,0.00039894823833403734,0.0009450388466016816
225 - 250 m,0.0012637499236136179,0.0026034773724768583
250 - 275 m,0.000294854827804284,0.0005302095046533432
275 - 300 m,0.0002752298741532738,0.00044230613492500655
300 - 325 m,0.0001885687419415427,0.00029100870082161064
325 - 350 m,5.727359522114085e-05,8.475532603992192e-05
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,4.170830034917126e-07,5.380977020612221e-07
