Ship Length,Pier 1,Pier 2
150 - 175 m,0.00010959995247508084,8.61503626202836e-05
175 - 200 m,0.0004046971253315452,0.0003824695877387755
200 - 225 m,0.00011713964479422576,0.00011609984167097105
225 - 250 m,2.1824671918190486e-05,2.2405322940637468e-05
250 - 275 m,0.00012621077620878377,0.00014546981002146712
275 - 300 m,4.893704097315978e-05,5.795184747404456e-05
300 - 325 m,5.1553061999326835e-05,7.092848660362493e-05
325 - 350 m,4.1305396670043985e-05,5.954999505074237e-05
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
