Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,4.127139053289122e-07,4.0301187819117554e-07,2.789381144164136e-07,3.1607020898049555e-07
175 - 200 m,4.4792307252071263e-07,4.3887612118227385e-07,3.218448777247216e-07,3.574717665698305e-07
200 - 225 m,9.201252763737286e-06,8.955014428180667e-06,6.669666883115502e-06,7.247480486388764e-06
225 - 250 m,0.0,0.0,0.0,0.0
250 - 275 m,2.9225481034715696e-06,2.851521533648464e-06,2.277191765655887e-06,2.4077352601501436e-06
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
