Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11
150 - 175 m,6.579295917158053e-07,3.9508315490009744e-06,1.7682304292976183e-05,0.00032254115137398634,0.00040258565520811623,2.5935462235460426e-05,6.620867521592959e-06,1.1725773924658767e-06,1.5026763925021226e-07,1.5226197975755085e-08,1.1441796662192695e-09
175 - 200 m,2.0945617060195086e-05,8.22285523519099e-05,0.00025777902110554675,0.0024783652197814844,0.0029463545162766876,0.0003447054590997315,0.00012197775676083777,3.255482744435694e-05,6.792020046426924e-06,1.1842637803066204e-06,1.6449397918249065e-07
200 - 225 m,9.146158029511323e-06,2.8920427038333746e-05,7.556751577971157e-05,0.0005403960459971929,0.0006275561636710158,9.620621476840982e-05,4.033887694109374e-05,1.3261075067538093e-05,3.5468099943991796e-06,8.151672446074179e-07,1.5491627906389518e-07
225 - 250 m,3.0418326090136026e-05,7.859002027238554e-05,0.00017325363068731526,0.0009367646915633586,0.0010641145846573736,0.0002107264631174773,0.00010348995329572857,4.133208299566346e-05,1.393981478985234e-05,4.146390395267654e-06,1.0558572549057925e-06
250 - 275 m,2.5376929821223952e-05,5.2976522127276916e-05,9.763322872273227e-05,0.00038960751579440446,0.0004321927829618089,0.00011322437677738048,6.56423008200447e-05,3.2197627003885034e-05,1.3868897159524844e-05,5.415789832467852e-06,1.8776798479590392e-06
275 - 300 m,0.00010462720042013235,0.00019103804963160287,0.000314724417864074,0.0010218020693656992,0.0011158306545246879,0.0003545522841273416,0.00022777725644422203,0.00012714302995117983,6.385630262845042e-05,2.9587326472315463e-05,1.2448466891496293e-05
300 - 325 m,3.737705013975522e-05,6.420513019036954e-05,0.00010051285345647268,0.0002959694259205075,0.00032083634639335813,0.00011176878789616224,7.521802678581336e-05,4.453546829174227e-05,2.3988330015459894e-05,1.2015996027472521e-05,5.521322359407422e-06
325 - 350 m,4.959402410797328e-05,7.80273191341642e-05,0.00011349895900463409,0.0002908154508551574,0.00031194494338378307,0.00012385387397521202,8.912925948524585e-05,5.744286454273886e-05,3.4218132947657776e-05,1.9174876704732218e-05,1.0002456520979318e-05
350 - 375 m,2.5042561627333068e-05,3.67323657379375e-05,5.0370515524132274e-05,0.00011707057648493419,0.00012461084134908178,5.410208247811335e-05,4.11291660895789e-05,2.8359822774360904e-05,1.8309368354662755e-05,1.1220559518542188e-05,6.478682742601237e-06
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,3.621629867388338e-07,3.7304906333983815e-07,3.797211193862194e-07,5.526224534616447e-07,5.664260613668216e-07,3.7601342579598023e-07,3.778321021869125e-07,3.661554037595405e-07,3.5475550793046764e-07,3.4132865473350707e-07,3.289947762464807e-07
