Ship Length,Pier 1,Pier 2
150 - 175 m,1.5888504128230116e-06,1.5769127701608018e-06
175 - 200 m,1.890462960588626e-05,3.834349560515036e-05
200 - 225 m,6.813079897306264e-06,1.6713944385428095e-05
225 - 250 m,3.167968587067771e-05,7.411199566036325e-05
250 - 275 m,4.5839787704503945e-05,0.00010575105272259671
275 - 300 m,0.0001269257315572453,0.0002343532698953515
300 - 325 m,5.230562342005042e-05,9.418148499033058e-05
325 - 350 m,0.00014432165211753813,0.00022695510429175303
350 - 375 m,6.361263547269744e-05,9.118416344940162e-05
375 - 400 m,8.824018579977347e-07,1.191802157835724e-06
Above 400 m,1.157046505208843e-07,8.70999132841539e-08
