Ship Length,Pier 1,Pier 2
150 - 175 m,0.00023137951394987987,9.58393259441927e-05
175 - 200 m,0.0024172491989480583,0.0008262860289980241
200 - 225 m,0.00016953950967383186,6.198528556096143e-05
225 - 250 m,0.0018071482665502642,0.0004375688131493773
250 - 275 m,0.00028198010921600026,5.790974353543655e-05
275 - 300 m,4.4478183941002305e-05,1.6745702113144415e-05
300 - 325 m,2.8756033966257646e-07,6.88628940722269e-08
325 - 350 m,2.4916886869205703e-06,4.758649874142028e-07
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
