Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,7.070609357288422e-06,2.624738316493207e-05,8.221207002170342e-05,0.0003851937056097012,0.0003487097442036416
175 - 200 m,0.0001894636126878125,0.0005290410774523596,0.0012956724818164935,0.004379320177652634,0.004050187268479929
200 - 225 m,3.558857778196473e-05,7.795975344781804e-05,0.00015529053221302887,0.0004022208008510514,0.0003787258658692617
225 - 250 m,0.00025022357437745363,0.0004813962819840493,0.0008567814594399176,0.0019084931328362353,0.001814699639197045
250 - 275 m,6.43635606782261e-05,0.00010782067865267931,0.00016993896442259187,0.00032034540416666713,0.00030784412163272726
275 - 300 m,1.1332541355538614e-05,1.750599749882455e-05,2.5753837266261092e-05,4.4430494531475306e-05,4.295306121451839e-05
300 - 325 m,3.799836413688684e-07,5.583431545868551e-07,7.885730239799953e-07,1.2973052397509842e-06,1.258600579938384e-06
325 - 350 m,3.4657968715403063e-06,4.723261491970132e-06,6.241238077154308e-06,9.357652463802517e-06,9.131345821246159e-06
350 - 375 m,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0
Above 400 m,1.3927785302392694e-07,1.7101622385421588e-07,2.070262936229521e-07,2.781790611548116e-07,2.735235133060527e-07
