Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,1.1647541462252658e-05,3.984432637153501e-05,0.00011469938031236487,0.0004589552751797,0.000281736887855018
175 - 200 m,0.0002782220285964343,0.0007290014865623627,0.0016718024472260208,0.004996320511715363,0.0034084569082308475
200 - 225 m,4.709443052541206e-05,9.824492614142744e-05,0.00018606774928038518,0.00043853701432727387,0.00032731979431712484
225 - 250 m,0.0003175559391628645,0.000586541196315493,0.0010009028680901847,0.002060799159678034,0.0016141796347914114
250 - 275 m,7.68589923394586e-05,0.00012476889854817712,0.00019032930502990982,0.0003373224302561014,0.0002781336270130538
275 - 300 m,1.3502035745020634e-05,2.0289153948651612e-05,2.901555892457516e-05,4.75039229717026e-05,4.038001798012756e-05
300 - 325 m,4.394540555123525e-07,6.304746647808486e-07,8.687343196532709e-07,1.3646747323262981e-06,1.1812278245446089e-06
325 - 350 m,3.895809590603996e-06,5.208174955254764e-06,6.7466866937376675e-06,9.74659593745026e-06,8.67701808878585e-06
350 - 375 m,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0
Above 400 m,1.5051067532584206e-07,1.8246704560173167e-07,2.1799883507733763e-07,2.857951090342914e-07,2.644199031909309e-07
