Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.0473044237613548e-05,1.534074534127895e-05,1.5963866048251227e-05,1.0408461871246194e-05
175 - 200 m,7.020633798191539e-05,9.999378652470142e-05,0.00010378358112870579,6.978491852837589e-05
200 - 225 m,9.371136511020035e-07,1.2224215389239858e-06,1.2584945544913632e-06,9.331305632560731e-07
225 - 250 m,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,7.49261729372523e-07,9.526587291932823e-07,9.780159220857222e-07,7.45658620098777e-07
300 - 325 m,0.0,0.0,0.0,0.0
325 - 350 m,4.218181022757226e-07,5.110805269047887e-07,5.221817906927884e-07,4.202276950779534e-07
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
