Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,7.405311176760105e-06,8.361403070931678e-06,4.078995812850051e-06,5.637304780900836e-06
175 - 200 m,6.60721254330863e-05,6.370746371435224e-05,2.7982083645092206e-05,5.338238006717908e-05
200 - 225 m,0.00017673466136970475,0.00016005187263017036,6.873853617845776e-05,0.00014674707249878388
225 - 250 m,0.00017767241222193178,0.00015829720133487372,7.032542834389872e-05,0.00014971044683335659
250 - 275 m,1.3131874475685845e-05,1.083182817927166e-05,4.170661602668507e-06,1.1214422778430252e-05
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0004280109987598619,0.0003008203514435917,8.080721183128265e-05,0.0003716375264767108
325 - 350 m,2.138410663974521e-06,1.4488348635409897e-06,3.415505981943978e-07,1.904873809271347e-06
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
