Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.00030210612154298516,0.00015485703128551807,6.493943002192822e-06
175 - 200 m,0.0031426374326103622,0.0018331078401013473,0.00013872973270468835
200 - 225 m,0.00042799218413879046,0.0002794094588191334,3.4751168324871294e-05
225 - 250 m,0.0009217796023002257,0.0006332526771122408,9.842762180209275e-05
250 - 275 m,5.409312663329936e-05,4.0466793725451225e-05,9.1512963567687e-06
275 - 300 m,4.4473270320186116e-05,3.510119540156883e-05,1.0259776291786178e-05
300 - 325 m,6.245298455518413e-05,5.029608628573203e-05,1.6275942145486473e-05
325 - 350 m,1.0021804960054815e-05,8.390746382788626e-06,3.26814636151635e-06
350 - 375 m,7.834427621525139e-07,6.716756687595296e-07,2.925128248208404e-07
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
