Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6
150 - 175 m,3.1358626506606253e-06,2.7611868418732655e-06,9.485390171042742e-07,3.4820779822499474e-07,8.731791887295382e-08,6.1380892038089835e-09
175 - 200 m,3.984170569343261e-06,3.639757851862258e-06,1.6956857300834095e-06,8.438603865212559e-07,3.1061057524944593e-07,4.725320989433346e-08
200 - 225 m,0.0,0.0,0.0,0.0,0.0,0.0
225 - 250 m,3.0389216952690694e-07,2.88217633610159e-07,1.7998265745952313e-07,1.276620204207517e-07,6.568781560753178e-08,2.222816145933204e-08
250 - 275 m,6.44273887457077e-07,6.149563464669012e-07,4.0615835090534347e-07,3.0105499044875473e-07,1.6733669768933624e-07,6.455620664415252e-08
275 - 300 m,3.930613298854698e-07,3.7876229503361847e-07,2.72976210147875e-07,2.1379350754000148e-07,1.350307225274132e-07,6.313920741405777e-08
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0
