Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6
150 - 175 m,1.1833396418366752e-05,3.033324950025264e-05,2.750860480657499e-05,1.1514284344002044e-05,4.555151383056181e-06,3.1806902929044718e-06
175 - 200 m,0.0005213271131124631,0.0011223640174423608,0.0010217605776495667,0.0005036281165423258,0.0002510166569390937,0.00019038791434183446
200 - 225 m,1.7282494312303128e-05,3.304323028168271e-05,3.0714748920100093e-05,1.745182231196556e-05,1.0344236134932987e-05,8.52606583628099e-06
225 - 250 m,0.0002828449829328794,0.00047201576805285894,0.00043468023772793446,0.0002789776457748773,0.00019424756726277355,0.00016816418867892407
250 - 275 m,0.00011201654139458867,0.00017411450254287036,0.00015957562804724004,0.00010988981389703368,8.300963050689706e-05,7.388349248552297e-05
275 - 300 m,6.825878601893872e-06,1.0161420717782308e-05,9.296132953755122e-06,6.718879747537775e-06,5.363786769387169e-06,4.875191584608097e-06
300 - 325 m,1.9925279611603964e-07,2.9324593251052044e-07,2.7298524025906503e-07,2.0038303049849914e-07,1.6543056535833626e-07,1.536987061050522e-07
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0
