Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16
150 - 175 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175 - 200 m,9.33631802677013e-08,1.800396467559624e-07,3.4859798628088617e-07,6.680243283988032e-07,1.1169231155645135e-06,1.7307027100012906e-06,2.364522694640182e-06,2.9711455967317984e-06,3.3796699181788294e-06,2.599532760078042e-06,1.8665787785721353e-06,1.211390223664954e-06,7.063684203263404e-07,4.0124232080539705e-07,2.000903184567747e-07,8.96705072473996e-08
200 - 225 m,1.8265644098937937e-07,3.061678252102158e-07,5.145449413661145e-07,8.612668524268062e-07,1.2892317654211867e-06,1.819971634865115e-06,2.323736606201289e-06,2.7861013562387105e-06,3.0957574909793054e-06,2.518021338478403e-06,1.9347720516804106e-06,1.3745472897131226e-06,9.006598188747064e-07,5.761204765084398e-07,3.3309548384421964e-07,1.771723512412741e-07
225 - 250 m,3.324775972303838e-06,5.257245882595648e-06,8.323750066081958e-06,1.3227251158118592e-05,1.888875938937586e-05,2.5659983524346407e-05,3.1809948469800725e-05,3.748621158672882e-05,4.144229607881334e-05,3.449600351533694e-05,2.7171215262000222e-05,2.0001077037436564e-05,1.3781956591834034e-05,9.240879734226406e-06,5.677831320116072e-06,3.243215151176824e-06
250 - 275 m,5.432910449776385e-08,8.016156145712518e-08,1.1832297742653443e-07,1.7608528593892637e-07,2.3801347566666565e-07,3.088249571901471e-07,3.701167352942876e-07,4.264373009804068e-07,4.666168047675048e-07,3.992589450789912e-07,3.2487762516180663e-07,2.499264774678933e-07,1.825166077283278e-07,1.2968770361709714e-07,8.570503306512074e-08,5.327810003269334e-08
275 - 300 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
