Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16,Pier 17,Pier 18,Pier 19,Pier 20,Pier 21,Pier 22,Pier 23,Pier 24,Pier 25,Pier 26,Pier 27,Pier 28,Pier 29,Pier 30,Pier 31,Pier 32,Pier 33,Pier 34,Pier 35,Pier 36,Pier 37,Pier 38,Pier 39,Pier 40,Pier 41,Pier 42,Pier 43
150 - 175 m,4.32703353137072e-22,3.364088956885226e-20,2.392919049653945e-18,1.4308800583981995e-16,6.14386663255979e-15,1.9975247425334045e-13,4.945385167535523e-12,9.870386275474037e-11,1.4266338858512366e-09,1.5998334839880842e-08,1.4559501057424692e-07,1.3548758968413571e-06,6.107853005911544e-06,2.239530685664967e-05,6.390894938027521e-05,0.00022185959654171176,0.00011567282072425439,1.978472332480066e-05,4.778240667596431e-06,9.335617603495025e-07,1.3536459696795499e-07,1.4669550652091184e-08,4.865071534651269e-09,3.082084586728801e-08,2.0215314565916784e-07,1.2228244919880565e-06,4.0042641381846516e-06,1.0071926533993484e-05,2.850443450278768e-05,1.2264215616528138e-05,1.9510956309688853e-06,4.484619935952171e-07,7.961549491655173e-08,9.824494285454176e-09,9.807785767035336e-10,7.244444079623767e-11,5.392675206383757e-12,1.8303973337019386e-13,6.03836980417327e-15,1.4748202659120577e-16,2.597921877622866e-18,4.996003610813204e-20,0.0
175 - 200 m,1.6239069249205856e-17,5.149209849506896e-16,1.5343612281645933e-14,3.976897946750453e-13,7.912386557550533e-12,1.2636113158490533e-10,1.6245625261532118e-09,1.759733567803681e-08,1.4732724061091198e-07,1.0049930815147852e-06,5.846374532810285e-06,3.5079996905953384e-05,0.00011431979047159294,0.0003212368341957852,0.0007404644318798144,0.002007382559570027,0.0011933095831254158,0.0002925416098450099,9.395868245020663e-05,2.5651554165300917e-05,5.519962780332784e-06,9.404986683535411e-07,2.3703268519899062e-07,6.092442718230708e-07,2.668484583782468e-06,1.1317792718071317e-05,2.8702500686802962e-05,5.95810334443622e-05,0.00013644278320266713,6.98382320155978e-05,1.6238527745771257e-05,5.026106508893831e-06,1.2703099226543602e-06,2.3882439426843763e-07,3.8188955907010325e-08,4.80157406443027e-09,6.183625530153947e-10,4.12130114568754e-11,2.739969904297368e-12,1.4301245521153307e-13,5.789422274915523e-15,1.8322676709203736e-16,4.982680934517702e-18
200 - 225 m,1.2569911633033717e-15,1.8797226156523156e-14,2.729138909181415e-13,3.539063237545251e-12,3.718842031755823e-11,3.2979152185005665e-10,2.4652271607839955e-09,1.610520026498818e-08,8.574840702744079e-08,3.8609496874016625e-07,1.5568856619172745e-06,6.5886810016510195e-06,1.6178612306266992e-05,3.644469609756541e-05,7.0442447722358e-05,0.00015660142044697818,0.00010361283001280172,3.420190597180196e-05,1.384045244863332e-05,4.990316416164833e-06,1.4898949366468841e-06,3.7111419431871993e-07,1.0837971694000359e-07,1.3355435737452118e-07,3.9450830925654384e-07,1.2563814760026098e-06,2.5482549078113557e-06,4.494367428737238e-06,8.644562668159461e-06,5.116569753715024e-06,1.635571590575468e-06,6.45919598140109e-07,2.187493617024394e-07,5.7840031032074134e-08,1.3667350324280125e-08,2.6678573628857723e-09,5.511509812672343e-10,6.311855129026434e-11,7.534170222367463e-12,7.383138806993372e-13,5.913013678693346e-14,3.9084222525076485e-15,2.278703892244493e-16
225 - 250 m,8.741070130096216e-13,7.460967002657843e-12,6.281971822768127e-11,4.826879444881565e-10,3.1339347959951505e-09,1.7807223704247237e-08,8.831045510017104e-08,3.9346511079171533e-07,1.4883617609063384e-06,4.911709083840184e-06,1.495717680528386e-05,4.7966429796587e-05,9.637301400487511e-05,0.00018379543050043044,0.0003107556250774756,0.0005910376488210309,0.00042466489521882946,0.00017564714799233247,8.504542848634536e-05,3.780860620096205e-05,1.4466861709581831e-05,4.817664293465792e-06,1.7403504602720883e-06,1.4273418908719253e-06,2.872176428826311e-06,7.173517792211266e-06,1.2403921601781622e-05,1.9408047354991776e-05,3.268972551451867e-05,2.1565763414081572e-05,8.737054072074307e-06,4.159136701139726e-06,1.7572033353463132e-06,6.054262834814739e-07,1.921274277193885e-07,5.23272489584392e-08,1.5198637778727207e-08,2.661738584168738e-09,4.924281016649434e-10,7.761649529425263e-11,1.0410172703867458e-11,1.199745089941473e-12,1.2524404513492013e-13
250 - 275 m,5.3169960061535425e-11,2.815918105512521e-10,1.4807338298830578e-09,7.247187054782721e-09,3.109834580023675e-08,1.2034917537194377e-07,4.1890949854588326e-07,1.3414710930976344e-06,3.780377431743806e-06,9.568762686467691e-06,2.280913310285146e-05,5.696284411841032e-05,9.733665575536558e-05,0.00016089215472805146,0.00024226801315339576,0.00040087300379214417,0.00030962641097279846,0.00015562757289249292,8.827758994681863e-05,4.696878134614975e-05,2.2210471198520946e-05,9.316902387220884e-06,3.6566650741429866e-06,1.4846481631591472e-06,9.836660959101974e-07,1.4062803841825684e-06,2.0105353853019257e-06,2.8216703246359468e-06,4.230308449399842e-06,3.0611005735116995e-06,1.5168273844266211e-06,8.499326044657783e-07,4.3448171360536897e-07,1.890454360950942e-07,7.733708158957909e-08,2.808039462334211e-08,1.0796977285658649e-08,2.761065350553871e-09,7.428280459742532e-10,1.7623935928634537e-10,3.686333438501777e-11,6.853955243357745e-12,1.1802526023174663e-12
275 - 300 m,1.6070710439444274e-11,7.00832780210659e-11,3.058799193635109e-10,1.251236736008696e-09,4.5511673981928495e-09,1.5122802880635326e-08,4.573884844946615e-08,1.2848033903090697e-07,3.220135817982981e-07,7.321183861391327e-07,1.586543368734675e-06,3.61461432878546e-06,5.747530846941887e-06,8.972002638375077e-06,1.290638584862086e-05,2.0272749453694337e-05,1.6101426512266027e-05,8.742248070437819e-06,5.267281366477495e-06,3.0113327574558376e-06,1.5488089496970557e-06,7.13319810704409e-07,3.029047343148288e-07,1.1508877528420046e-07,3.995380521947945e-08,1.3099569899060358e-08,3.072699894506759e-09,7.553166594795879e-10,4.686461425995602e-11,6.878969660562007e-14,1.6197969632258946e-15,1.7601520241328217e-16,1.7563950294174903e-17,1.5341061754270414e-18,1.2523315717771767e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,6.659519406248564e-29,9.570624819283078e-28,1.4267641549442806e-26,2.08511990633165e-25,2.7007297547068505e-24,3.2058924435846803e-23,3.4974333634746467e-22,3.668742487093883e-21,3.4068130578078316e-20,2.9832096255229283e-19,2.5070242569503834e-18,2.569526962039335e-17,1.7614419233878254e-16,1.1220138022899506e-15,6.8216560702168875e-15,1.614180746159201e-13,3.0697964863928146e-11,2.6906965056485204e-10,7.41495010689207e-10,1.9958725875145475e-09,4.893729192260498e-09,1.0987597488677993e-08,2.3019242960121375e-08,4.320093869870665e-08,7.636004290576597e-08,1.397259780418651e-07,1.8700572072405987e-07,2.4205935415900605e-07,3.322035430044083e-07,2.5972739708877037e-07,1.5262651986198693e-07,9.676668813537659e-08,5.761452416560054e-08,2.9671097166356294e-08,1.487986864424995e-08,6.787431571312786e-09,3.4160265820570856e-09,1.1326694132485215e-09,4.1565242804364467e-10,1.3705731024704628e-10,4.0895349616043575e-11,1.117725244026424e-11,2.8871850530354236e-12
325 - 350 m,5.0124564674395457e-11,1.4509030023255966e-10,4.234573292958486e-10,1.1776574351890915e-09,3.0049934739917573e-09,7.189504346312166e-09,1.6064320395759337e-08,3.402077089570519e-08,6.627951093577191e-08,1.2002315212452473e-07,2.1107306516664828e-07,3.8896030787373186e-07,5.374996834112594e-07,7.423271813737337e-07,9.671763984042918e-07,1.3497164645353773e-06,1.1401774979103382e-06,7.313433863825594e-07,5.041848871181938e-07,3.362006933232811e-07,2.0746809898186736e-07,1.1808918448447714e-07,6.34673552650491e-08,3.141182759966554e-08,1.4585412183107271e-08,6.557628248751614e-09,2.2663466686874137e-09,8.163087440924422e-10,1.0859846839395005e-10,9.541000089985376e-13,6.294576859744439e-14,1.2542169303131346e-14,2.35566366413309e-15,3.9872705137611323e-16,6.485811887557703e-17,9.758194252640351e-18,1.6047163597932012e-18,1.878497357665765e-19,2.398081733190338e-20,3.996802888650564e-21,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
