Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,3.6298819091671866e-06,3.5936787011549175e-05,7.588797298592896e-05,5.137970580043839e-05,3.058945163637148e-05
175 - 200 m,5.306598958954118e-05,0.00030838562943316065,0.00044552099762726165,0.00034741043379887956,0.00022669331360095877
200 - 225 m,1.1288100772501176e-05,4.399105978954591e-05,5.507739857313477e-05,0.00010188338027136895,8.616683890516226e-05
225 - 250 m,7.743775184514201e-05,0.00024329920304240704,0.0002788428716518312,0.00032167823147732715,0.0002546558371344199
250 - 275 m,5.679743255330902e-05,0.00012542138265809978,0.00011876538094739823,0.00031036306022227944,0.0002773970509294418
275 - 300 m,6.051870942680601e-05,0.000114966940434561,0.00016981503531204748,0.00048372907039851624,0.0004498051985533535
300 - 325 m,2.684816577670824e-05,5.354975662754821e-05,9.980789914316367e-05,0.0002539426230984864,0.00023644954543058927
325 - 350 m,4.121006098453412e-05,7.51781382198289e-05,0.00023368534181466717,0.0005455714280663772,0.0005141804384026904
350 - 375 m,9.79086454027499e-06,2.4074582969317107e-05,0.00011286161333067327,0.00020421744508618473,0.0001905791869165561
375 - 400 m,4.558030813648353e-09,3.866018386368461e-07,2.7046745754113593e-06,2.8090201597990046e-06,1.9048114358033905e-06
Above 400 m,1.2395423792152745e-11,8.642233778100946e-09,1.382148750716379e-07,2.736531924668857e-07,2.658283390372336e-07
