Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16
150 - 175 m,1.4343995143551887e-08,8.877460219609862e-08,9.981216551528612e-07,2.0598901553801598e-06,2.7706915946193024e-06,3.0502146708045857e-06,2.7597386851557885e-06,2.028459907399716e-06,1.1953611984184657e-06,5.819834335171717e-07,2.573918604395473e-07,1.1387880439560049e-07,5.0294272883130376e-08,1.5232281741560882e-08,4.286102640437051e-09,1.090007900483414e-09
175 - 200 m,9.891667475595101e-07,4.587277737321863e-06,3.51722570881951e-05,6.473122666678745e-05,8.307995159697453e-05,9.010046595978932e-05,8.281888946581284e-05,6.391148060104165e-05,4.094889532329817e-05,2.233797079390894e-05,1.1240746076722127e-05,5.657917855891994e-06,2.8434388648892627e-06,1.040065854892085e-06,3.577819746840487e-07,1.1297963734382367e-07
200 - 225 m,9.40953747707201e-07,2.654184171429053e-06,1.0434242524503876e-05,1.5686696172139534e-05,1.8544728408538958e-05,1.9489555191960384e-05,1.842570962181234e-05,1.5480878724374105e-05,1.1479372782112341e-05,7.663078375445683e-06,4.826198590207876e-06,3.044728984686803e-06,1.9723172527253855e-06,9.906982441703052e-07,4.759178698209952e-07,2.2004655857410784e-07
225 - 250 m,8.049671201916863e-06,2.0365291478488917e-05,6.914175074423953e-05,9.942096906466686e-05,0.00011543151190817188,0.00012044729207074156,0.00011458118917563201,9.80820008508147e-05,7.510062062442156e-05,5.2414204936072036e-05,3.4675365368028234e-05,2.2988449301335212e-05,1.5768071466578974e-05,8.485960347063263e-06,4.382748018213673e-06,2.2037261614442134e-06
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
