Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16
150 - 175 m,8.650726151247352e-09,5.864745207399387e-08,7.849639463748139e-07,1.7747664218616894e-06,2.545840989657919e-06,3.0108016453807476e-06,2.9213006384167905e-06,2.2992486765991114e-06,1.4534169935870055e-06,7.583219629068304e-07,3.5625251779340417e-07,1.6594161351332027e-07,7.717963471543143e-08,2.4709287141726934e-08,7.326053207226125e-09,1.968055771561339e-09
175 - 200 m,6.51901064081671e-07,3.2595197498348334e-06,2.88842612385097e-05,5.7366751921912246e-05,7.770456392134763e-05,8.949552649588629e-05,8.725067727436755e-05,7.133610560195385e-05,4.850397404930131e-05,2.806072483120688e-05,1.4865306291880314e-05,7.818178323900238e-06,4.106833042409315e-06,1.5753714543650168e-06,5.668171381440767e-07,1.8763081608180966e-07
200 - 225 m,6.933588079197575e-07,2.059390816721624e-06,8.935922862867966e-06,1.4146308449445218e-05,1.734389713766204e-05,1.8981404547189005e-05,1.8669012887403886e-05,1.6304019443027732e-05,1.2578977707711318e-05,8.732101890453452e-06,5.690343408841016e-06,3.695817956468432e-06,2.465213986399865e-06,1.2777024034307355e-06,6.321711612382996e-07,3.014802095849474e-07
225 - 250 m,6.2393189767881395e-06,1.6543111659877888e-05,6.140871133727648e-05,9.250220443569311e-05,0.00011096508826216713,0.00012006305018517662,0.00011831782137934725,0.00010482929342287917,8.314434063502153e-05,6.0073270916169515e-05,4.09583405014576e-05,2.7858808747313175e-05,1.9607349589133985e-05,1.0846505715516646e-05,5.748589910295107e-06,2.9697827034278727e-06
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06,5.999999876589313e-06
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,1.647126352346838e-07,2.6962534949088304e-07,5.205548787693701e-07,6.384113421037798e-07,6.992752819588784e-07,7.252960887295373e-07,7.202077120482767e-07,6.777907482932713e-07,6.034516698133015e-07,5.136757700173225e-07,4.236719807195142e-07,3.493532607490333e-07,2.984240161377523e-07,2.1985662256987126e-07,1.5824981153516982e-07,1.1385903183982116e-07
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
