Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7
150 - 175 m,3.0428098891934088e-05,3.1857310950534754e-05,4.0318578909892725e-06,1.819882366447262e-06,6.914322938592999e-07,2.543720659900868e-07,7.762598871195125e-08
175 - 200 m,0.0010639975852541528,0.0011016000498768148,0.0002456956353000782,0.00013900409573672502,6.91691784455903e-05,3.378468125386196e-05,1.4350767066530394e-05
200 - 225 m,0.0001462796019700843,0.0001512654655800202,3.616766344991123e-05,2.105935119027781e-05,1.0837968440065183e-05,5.487866785362401e-06,2.4291548084751846e-06
225 - 250 m,0.0002298159509391031,0.0002364522676694623,7.715946071092745e-05,5.12220538965028e-05,3.068148651688417e-05,1.8305578359227672e-05,9.756283532449863e-06
250 - 275 m,1.0878181614074999e-05,1.1142417163572005e-05,4.693563493693817e-06,3.4626760938710543e-06,2.346722427564296e-06,1.5980336815462533e-06,9.906804326393397e-07
275 - 300 m,1.0802158534703469e-06,1.1038958911043925e-06,5.304379178633934e-07,4.1319691950803423e-07,2.9843352458130747e-07,2.1754557279136133e-07,1.4579083562433493e-07
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,3.960460337925975e-07,4.0209245426965715e-07,2.3169404065030674e-07,1.90492344392996e-07,1.485412647792812e-07,1.1600592646064211e-07,8.546077031543242e-08
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
