Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,3.8807966288403536e-05,0.0003269153530463649,0.00029037987974517813
175 - 200 m,0.00036939548641948716,0.0019417128041584741,0.0017729507927705898
200 - 225 m,3.042083747451256e-05,0.00011282428532049103,0.00010544302354243752
225 - 250 m,0.00013997825314512684,0.00039493156067212185,0.000374606568967418
250 - 275 m,1.8933458607893275e-05,4.5022902100724677e-05,4.310581717169934e-05
275 - 300 m,6.2346356133045565e-06,1.2366904370816233e-05,1.1973965973017924e-05
300 - 325 m,7.191611220652413e-07,1.3309698605215044e-06,1.2955865215607939e-06
325 - 350 m,4.529418835520322e-06,7.434481333204377e-06,7.283299500493486e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,5.904370619231104e-07,8.191763010804743e-07,8.114720607140259e-07
