Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,4.4887613085982215e-05,0.00034092702270497433,0.00027146354528692076
175 - 200 m,0.00041330821116681443,0.002002397251894658,0.0016793006175757394
200 - 225 m,3.217212186270332e-05,0.00011171737933736754,9.763848291263705e-05
225 - 250 m,0.00014916563952795125,0.00039955964020721305,0.00035939503381857076
250 - 275 m,1.9513962274509777e-05,4.482341645119265e-05,4.0987746619488964e-05
275 - 300 m,6.630192699811701e-06,1.2728537810124396e-05,1.1899214643994738e-05
300 - 325 m,7.513500320944853e-07,1.3487343757609098e-06,1.272050677226142e-06
325 - 350 m,4.5263050929135195e-06,7.250292102933272e-06,6.923451574563641e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,6.043904162283904e-07,8.249906547115929e-07,8.035746796648462e-07
