Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7
150 - 175 m,2.371248568349066e-06,5.720104247587053e-06,1.2271378763541645e-05,2.974475734269479e-05,2.960783318187537e-05,2.0171990928025084e-05,1.294463043817565e-05
175 - 200 m,4.645295941342548e-05,9.47856814780075e-05,0.0001772550302706031,0.00036649236403866515,0.00036497576224558465,0.0002640206335610386,0.00018399280059910747
200 - 225 m,2.7255836791734588e-06,5.019055963287958e-06,8.656762641521484e-06,1.628518545819189e-05,1.6220463124285148e-05,1.211758605883904e-05,8.87566440964437e-06
225 - 250 m,7.5361145162860315e-06,1.2153643340685135e-05,1.8961045855484225e-05,3.169350426526104e-05,3.156915211009039e-05,2.4441003039566817e-05,1.907318896683665e-05
250 - 275 m,1.6141900767308771e-07,2.2882408014716436e-07,3.1761275747922937e-07,4.64449408924883e-07,4.6301048237455603e-07,3.8163195526939984e-07,3.181922037472016e-07
275 - 300 m,1.2992011202242813e-07,1.7386336848043583e-07,2.3583943256477513e-07,3.34201062106035e-07,3.328976162924839e-07,2.7053125707927575e-07,2.307326691692997e-07
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,9.556935855528713e-07,1.19956502092501e-06,1.4956630403165581e-06,1.9322501859491743e-06,1.9276079606057273e-06,1.6793794593828116e-06,1.4893659542152777e-06
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
