Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7
150 - 175 m,2.313696067456961e-06,5.591281902715746e-06,1.2015257913610325e-05,2.922513075848062e-05,2.9133977097407488e-05,1.9873708636790938e-05,1.276722057287853e-05
175 - 200 m,4.615037418681094e-05,9.427922269246977e-05,0.0001765039452768089,0.00036586020036174995,0.0003647863033686634,0.0002641841931142767,0.0001842962046758757
200 - 225 m,2.555092814898224e-06,4.707039540810063e-06,8.123130761822687e-06,1.5306973482630775e-05,1.5261835558147992e-05,1.1413409833093624e-05,8.369487711110544e-06
225 - 250 m,7.203996061486943e-06,1.1627027318502853e-05,1.8153173941623855e-05,3.0394535286480076e-05,3.0299634584132145e-05,2.3475243601414673e-05,1.833208892022493e-05
250 - 275 m,1.6100992817249528e-07,2.2836509428573917e-07,3.1713955127623015e-07,4.643124680444031e-07,4.6314576025674345e-07,3.8195430416264986e-07,3.1862613240436134e-07
275 - 300 m,1.296481562695967e-07,1.7357532387641639e-07,2.3554918926742496e-07,3.3411966263393356e-07,3.3297795791007735e-07,2.707199598118722e-07,2.309924948818023e-07
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,9.541199019646144e-07,1.1980017702568357e-06,1.4942153457589895e-06,1.9318801113780385e-06,1.9279737573125247e-06,1.6803006146468383e-06,1.4906847798646404e-06
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
