MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,TranscieverClass
357249000,2015-03-28T00:00:15,41.06497,-129.92348,-102.24105988551688,296.5,295,MOL ENCORE,IMO9261712,HOWM,1004,0,294.1300048828125,32.2599983215332,13.539999961853027,71,,
357249000,2015-03-28T00:00:56,37.81089,-122.32969,0.0770442718573699,242.1000061035156,96,MOL ENCORE,IMO9261712,HOWM,1004,5,294.1300048828125,32.2599983215332,13.539999961853027,71,,
538005113,2015-05-28T11:59:34,37.72592,-122.34382,0.0283381300086041,172.3000030517578,312,ALGOMA VISION,IMO9640944,V7BC3,1004,1,228.6000061035156,32.2599983215332,13.5,,,
538005113,2015-05-28T14:40:07,37.90686,-122.36215,2.506724473474944,0.699999988079071,180,ALGOMA VISION,IMO9640944,V7BC3,1004,0,228.6000061035156,32.2599983215332,13.5,,,
566705000,2015-06-04T21:17:27,37.79207,-122.29726,4.339090054786169,258.8999938964844,265,APL DUBLIN,IMO9601314,9V9404,1004,0,347.2900085449219,45.20000076293945,15.5,,,
566705000,2015-06-04T22:00:00,37.83262,-122.40163,11.26031123467178,325.70001220703125,317,APL DUBLIN,IMO9601314,9V9404,1004,0,347.2900085449219,45.20000076293945,15.5,,,
235076681,2015-06-18T13:20:04,37.79562,-122.31418,0.0,199.1999969482422,289,CMA CGM CENTAURUS,IMO9410777,2CXY9,1004,0,363.6000061035156,45.59999847412109,15.5,,,
235076681,2015-06-18T14:00:00,37.84028,-122.4147,13.639651199324144,305.79998779296875,307,CMA CGM CENTAURUS,IMO9410777,2CXY9,1004,0,363.6000061035156,45.59999847412109,15.5,,,
368600000,2015-06-18T11:19:47,37.81775,-122.31688,8.845064982940588,253.6000061035156,231,MATSON CONSUMER,IMO7224306,WCHF,1004,0,219.6199951171875,29.040000915527344,10.390000343322754,70.0,,
368600000,2015-06-18T12:00:04,37.84115,-122.43854,8.845064982940588,273.20001220703125,273,MATSON CONSUMER,IMO7224306,WCHF,1004,0,219.6199951171875,29.040000915527344,10.390000343322754,70.0,,
636013692,2015-06-18T00:18:54,37.81402,-122.32308,8.898261516075797,258.79998779296875,262,YM UTILITY,IMO9337470,A8OR7,1004,0,333.20001220703125,42.79999923706055,14.5,,,
636013692,2015-06-18T01:00:01,37.84123,-122.44695,8.898261516075797,241.1000061035156,230,YM UTILITY,IMO9337470,A8OR7,1004,0,333.20001220703125,42.79999923706055,14.5,,,
353051000,2015-06-20T04:25:41,37.81092,-122.33603,8.1838312174283,242.8999938964844,237,MSC GAIA,IMO9401142,3EXO7,1004,0,366.0299987792969,51.20000076293945,15.600000381469728,,,
353051000,2015-06-20T05:00:09,37.84252,-122.42672,8.1838312174283,278.79998779296875,269,MSC GAIA,IMO9401142,3EXO7,1004,0,366.0299987792969,51.20000076293945,15.600000381469728,,,
636015675,2015-06-21T03:25:12,37.81329,-122.32209,7.236880617242439,354.1000061035156,310,ITEA,IMO9157698,D5CE2,1004,0,258.010009765625,32.25,12.020000457763672,70,,
636015675,2015-06-21T04:00:02,37.83426,-122.4066,7.236880617242439,320.0,320,ITEA,IMO9157698,D5CE2,1004,0,258.010009765625,32.25,12.020000457763672,70,,
229452000,2015-06-22T11:19:19,37.81416,-122.32343,3.718188316863652,257.20001220703125,261,CAP CLEVELAND,IMO9620607,9HA3340,1004,0,227.9900054931641,37.29999923706055,12.5,,,
229452000,2015-06-22T12:00:01,37.84237,-122.44432,13.393575021338062,261.79998779296875,247,CAP CLEVELAND,IMO9620607,9HA3340,1004,0,227.9900054931641,37.29999923706055,12.5,,,
636016242,2015-06-24T12:20:26,37.81406,-122.32466,4.248692502442904,255.6999969482422,256,YM MODESTY,IMO9664885,D5FE7,1004,0,293.17999267578125,40.0,14.020000457763672,,,
636016242,2015-06-24T12:59:51,37.83939,-122.45385,14.577545838164564,228.3000030517578,225,YM MODESTY,IMO9664885,D5FE7,1004,0,293.17999267578125,40.0,14.020000457763672,,,
353968000,2015-07-11T03:49:16,37.81203,-122.32435,0.0,220.0,220,MSC LISA,IMO9281279,H3MK,1004,5,294.1000061035156,32.20000076293945,13.5,71,,
353968000,2015-07-11T03:58:19,37.821,-122.37323,0.0,220.0,220,MSC LISA,IMO9281279,H3MK,1004,5,294.1000061035156,32.20000076293945,13.5,71,,
235102678,2015-07-19T04:17:02,37.80831,-122.34049,4.120539972845084,241.8000030517578,242,EVER LIBERAL,IMO9604160,2HDG2,1004,0,334.79998779296875,45.84000015258789,14.199999809265137,74,,
235102678,2015-07-19T04:45:01,37.84283,-122.43398,13.377914066963752,272.0,270,EVER LIBERAL,IMO9604160,2HDG2,1004,0,334.79998779296875,45.84000015258789,14.199999809265137,74,,
357067000,2015-08-04T10:20:52,37.81107,-122.32293,6.681679339364991,315.1000061035156,225,MSC ELENI,IMO9278143,H3BQ,1004,0,294.04998779296875,32.20000076293945,13.5,74,,
357067000,2015-08-04T11:00:03,37.83562,-122.40952,6.681679339364991,311.79998779296875,307,MSC ELENI,IMO9278143,H3BQ,1004,0,294.04998779296875,32.20000076293945,13.5,74,,
538005938,2015-09-10T12:34:41,37.81198,-122.3337,10.60373898264501,243.0,241,TIANJIN BRIDGE,IMO9282962,V7IG8,1004,0,294.1000061035156,32.20000076293945,13.649999618530272,79,,
538005938,2015-09-10T13:00:01,37.84025,-122.42105,10.60373898264501,288.0,290,TIANJIN BRIDGE,IMO9282962,V7IG8,1004,0,294.1000061035156,32.20000076293945,13.649999618530272,79,,
370407000,2015-11-10T11:02:45,37.81269,-122.32366,7.127331253091261,268.1000061035156,276,MOL CONTINUITY,IMO9388352,3ESS2,1004,5,320.0,46.13999938964844,14.5,0,,
370407000,2015-11-10T11:31:22,37.82324,-122.39407,7.127331253091261,320.5,319,MOL CONTINUITY,IMO9388352,3ESS2,1004,5,320.0,46.13999938964844,14.5,0,,
305905000,2015-11-16T02:00:05,37.79728,-122.31995,0.0007062994196661,181.0,109,STADT AACHEN,IMO9333060,V2CX6,1004,5,222.50999450683597,32.20000076293945,12.020000457763672,71,,
305905000,2015-11-16T23:59:59,42.28723,-125.06442,-68.83023906963287,358.0,357,STADT AACHEN,IMO9333060,V2CX6,1004,0,222.50999450683597,32.20000076293945,12.020000457763672,71,,
373069000,2015-12-22T02:59:08,37.81424,-122.31885,1.723576726448867,161.5,220,MSC AURORA,IMO9484481,3FAT3,1004,5,365.7999877929688,48.400001525878906,16.0,,,
373069000,2015-12-22T05:00:02,37.82041,-122.39165,1.723576726448867,323.20001220703125,319,MSC AURORA,IMO9484481,3FAT3,1004,0,365.7999877929688,48.400001525878906,16.0,,,
636013521,2016-08-04T12:59:17,37.79278,-122.28982,6.692029798669111,83.0,79,APL MINNESOTA,IMO9350018,A8NM5,1004,0,293.17999267578125,40.0,14.0,70,,
636013521,2016-08-04T14:00:01,37.8399,-122.41957,6.692029798669111,298.0,299,APL MINNESOTA,IMO9350018,A8NM5,1004,0,293.17999267578125,40.0,14.0,70,,
477014700,2016-09-10T00:00:04,40.01588,-124.701,-23.860673552096795,335.3999938964844,337,SEASPAN NINGBO,IMO9227015,VRBH5,1004,0,259.79998779296875,32.349998474121094,12.600000381469728,70,,
477014700,2016-09-10T00:00:18,37.79589,-122.31451,0.0372559713992025,352.1000061035156,288,SEASPAN NINGBO,IMO9227015,VRBH5,1004,5,259.79998779296875,32.349998474121094,12.600000381469728,70,,
366758000,2016-09-29T11:59:32,37.79383,-122.3065,5.951430929811378,174.0,289,HORIZON ENTERPRISE,IMO7617905,KRGB,1004,0,247.88999938964844,27.440000534057617,10.300000190734863,,,
366758000,2016-09-29T13:00:04,37.84017,-122.41867,5.951430929811378,290.0,289,HORIZON ENTERPRISE,IMO7617905,KRGB,1004,0,247.88999938964844,27.440000534057617,10.300000190734863,,,
373457000,2017-01-06T01:24:30,37.81233,-122.32398,0.9038016062642762,353.3999938964844,297,MOL MAESTRO,IMO9415727,3EKT9,1004,0,302.0,43.400001525878906,14.199999809265137,,,
373457000,2017-01-06T01:59:59,37.82644,-122.39724,14.023834496076708,317.79998779296875,318,MOL MAESTRO,IMO9415727,3EKT9,1004,0,302.0,43.400001525878906,14.199999809265137,,,
538003993,2017-01-15T00:00:46,37.81045,-122.3258,-95.01057650873494,279.6000061035156,97,MOL MARVEL,IMO9475612,V7UP3,1004,5,301.9700012207031,43.38999938964844,14.199999809265137,,,
538003993,2017-01-15T21:37:54,40.32129,-125.81525,21.31795084421133,319.20001220703125,320,MOL MARVEL,IMO9475612,V7UP3,1004,0,301.9700012207031,43.38999938964844,14.199999809265137,,,
636090534,2017-01-27T03:50:15,37.92175,-122.3203,26.71759972779683,0.0,349,E R WILHELMSHAVEN,IMO9246310,ELZY3,1004,1,211.8500061035156,29.799999237060547,11.399999618530272,71,,
636090534,2017-01-27T04:18:02,37.7164,-122.34163,26.71759972779683,0.0,349,E R WILHELMSHAVEN,IMO9246310,ELZY3,1004,1,211.8500061035156,29.799999237060547,11.399999618530272,71,,
311056900,2017-05-28T00:00:02,37.77947,-122.35694,-73.59425657909073,165.6999969482422,164,CSL TECUMSEH,IMO9600994,C6ZJ6,1004,0,228.6000061035156,32.2599983215332,13.5,,,
311056900,2017-05-28T23:59:42,37.90781,-122.36269,-109.67910624928938,350.20001220703125,168,CSL TECUMSEH,IMO9600994,C6ZJ6,1004,0,228.6000061035156,32.2599983215332,13.5,,,
477519400,2017-09-03T23:58:28,37.80042,-122.33839,0.0018594361942319,290.0,289,MSC ARBATAX,IMO9605231,VRMO6,1004,0,299.8800048828125,48.20000076293945,14.5,71,,
477519400,2017-09-03T23:59:30,42.85382,-125.07124,-16.319185140961636,358.5,357,MSC ARBATAX,IMO9605231,VRMO6,1004,0,299.8800048828125,48.20000076293945,14.5,71,,
356407000,2019-06-03T10:17:13,37.80838,-122.339,0.5665261330173889,346.20001220703125,236,EVER LUCKY,IMO9604172,3FAE4,72,0,335.0,46.0,9.600000381469728,72,A,
356407000,2019-06-03T10:49:57,37.84058,-122.42069,15.425099952014502,299.3999938964844,299,EVER LUCKY,IMO9604172,3FAE4,72,0,335.0,46.0,9.600000381469728,72,A,
636016200,2020-01-22T13:07:01,37.7921,-122.29522,2.339041760847357,259.0,262,HYUNDAI LONG BEACH,IMO9332884,D5EZ2,70,0,293.0,40.0,14.0,72,A,
636016200,2020-01-22T13:58:57,37.83607,-122.41048,13.954354634531985,301.0,301,HYUNDAI LONG BEACH,IMO9332884,D5EZ2,70,0,293.0,40.0,14.0,72,A,
367438000,2021-02-08T03:29:46,39.27146,-124.57547,21.064636994327643,155.3000030517578,153,MAUNAWILI,IMO9268538,WGEB,70,0,217.0,32.0,12.5,,,A
367438000,2021-02-08T13:32:10,37.79286,-122.2903,0.928329003382732,55.70000076293945,135,MAUNAWILI,IMO9268538,WGEB,70,0,217.0,32.0,12.5,,,A
477014800,2021-03-07T07:08:44,37.79432,-122.30858,6.087051018467328,11.800000190734863,109,SEASPAN HAMBURG,IMO9224300,VRBH6,70,5,259.0,32.0,12.600000381469728,,,A
477014800,2021-03-07T19:02:11,38.36337,-123.65856,6.087051018467328,326.6000061035156,327,SEASPAN HAMBURG,IMO9224300,VRBH6,70,0,259.0,32.0,12.600000381469728,,,A
319200700,2021-03-17T00:23:52,37.79397,-122.30682,7.677741770988785,64.69999694824219,288,NYK DAEDALUS,IMO9337614,ZGKY8,79,5,294.0,32.0,10.399999618530272,79,,A
319200700,2021-03-17T12:57:52,38.71203,-123.98616,7.677741770988785,316.1000061035156,317,NYK DAEDALUS,IMO9337614,ZGKY8,79,0,294.0,32.0,10.399999618530272,79,,A
367134000,2021-12-16T14:03:22,38.03141,-122.13228,0.0516273564703034,98.6999969482422,237,OVERSEAS LOS ANGELES,IMO9353539,WABS,80,5,183.0,32.0,12.199999809265137,80,A,
367134000,2021-12-16T19:03:19,37.79443,-122.36093,0.0861792822059077,55.5,132,OVERSEAS LOS ANGELES,IMO9353539,WABS,80,1,183.0,32.0,12.199999809265137,80,A,
563026300,2022-02-15T23:57:40,37.9177,-122.36385,0.0380566958377025,10.600000381469728,299,CHALLENGE PRIME,IMO9793272,9V5544,80,5,183.0,32.0,8.0,80,A,
563026300,2022-02-15T23:59:49,35.39023,-121.69924,-95.76920556176258,327.70001220703125,329,CHALLENGE PRIME,IMO9793272,9V5544,80,0,183.0,32.0,8.0,80,A,
431205000,2022-03-09T23:59:39,38.01173,-122.4038,15.08433881453184,46.0,46,EMINENT ACE,IMO9293571,7-Jul,70,0,199.0,32.0,9.800000190734863,79,A,
431205000,2022-03-09T23:59:52,35.49212,-121.78278,-92.98153682787814,327.0,326,EMINENT ACE,IMO9293571,7-Jul,70,0,199.0,32.0,9.800000190734863,79,A,
249029000,2022-03-26T12:17:41,37.78218,-122.35584,2.051453962517714,326.29998779296875,327,PETANI,IMO9363065,9HIO9,70,0,225.0,32.0,14.300000190734863,70,A,
249029000,2022-03-26T16:19:34,37.91962,-122.36721,2.051453962517714,316.8999938964844,127,PETANI,IMO9363065,9HIO9,70,5,225.0,32.0,14.300000190734863,70,A,
367196000,2022-05-27T00:37:14,39.45797,-124.96738,12.818195916807614,142.60000610351562,142,MOKIHANA,IMO7908005,WNRD,70,0,262.0,32.0,11.600000381469728,79,A,
367196000,2022-05-27T13:06:54,37.79339,-122.29971,12.818195916807614,2.0999999046325684,271,MOKIHANA,IMO7908005,WNRD,70,5,262.0,32.0,11.600000381469728,79,A,
636015455,2022-06-06T05:15:04,37.72944,-122.32709,0.0957368753228482,122.8000030517578,185,BUENOS AIRES,IMO9539248,D5AV5,70,1,229.0,32.0,14.600000381469728,70,A,
636015455,2022-06-06T12:37:07,37.90561,-122.38855,6.448800663926156,98.5999984741211,98,BUENOS AIRES,IMO9539248,D5AV5,70,0,229.0,32.0,14.600000381469728,70,A,
355433000,2022-06-07T05:15:11,37.81072,-122.32894,0.7381287794234421,126.1999969482422,97,NYK CONSTELLATION,IMO9337626,3FCZ6,70,5,293.0,32.0,10.0,70,A,
355433000,2022-06-07T12:06:26,37.84241,-122.42778,0.7381287794234421,270.1000061035156,270,NYK CONSTELLATION,IMO9337626,3FCZ6,70,0,293.0,32.0,10.0,70,A,
563061300,2022-06-11T01:13:25,37.81256,-122.32407,6.003630564347429,3.5999999046325684,342,ONE ORPHEUS,IMO9313008,9V5999,70,5,336.0,46.0,12.300000190734863,70,A,
563061300,2022-06-11T02:17:43,37.83563,-122.45654,6.003630564347429,226.5,226,ONE ORPHEUS,IMO9313008,9V5999,70,0,336.0,46.0,12.300000190734863,70,A,
563046100,2022-06-12T05:15:24,37.91488,-122.36486,0.0516383779107788,174.39999389648438,356,HODAKA GALAXY,IMO9791157,9V5146,80,5,159.0,27.0,5.599999904632568,80,A,
563046100,2022-06-12T17:17:54,37.76688,-122.34715,0.0398267631632285,38.29999923706055,325,HODAKA GALAXY,IMO9791157,9V5146,80,1,159.0,27.0,5.599999904632568,80,A,
372955000,2022-06-27T10:14:22,37.8112,-122.32203,3.409047116189032,134.0,39,MOL EXPERIENCE,IMO9333838,3ELI7,70,5,294.0,32.0,13.5,71,A,
372955000,2022-06-27T12:16:19,37.8299,-122.46618,3.409047116189032,229.8000030517578,229,MOL EXPERIENCE,IMO9333838,3ELI7,70,0,294.0,32.0,13.5,71,A,
367196000,2022-07-07T08:14:59,37.79333,-122.29975,6.707731932203663,18.200000762939453,270,MOKIHANA,IMO7908005,WNRD,70,0,262.0,32.0,11.600000381469728,79,A,
367196000,2022-07-07T09:16:01,37.84334,-122.42892,6.707731932203663,285.29998779296875,279,MOKIHANA,IMO7908005,WNRD,70,0,262.0,32.0,11.600000381469728,79,A,
538005536,2022-09-08T12:41:55,37.78366,-122.35182,0.1145552323213663,216.3000030517578,143,LAFAYETTE BAY,IMO9717785,V7EU6,80,1,183.0,32.0,13.300000190734863,80,A,
538005536,2022-09-08T21:11:33,37.91775,-122.36369,0.0152961263712157,265.79998779296875,300,LAFAYETTE BAY,IMO9717785,V7EU6,80,5,183.0,32.0,13.300000190734863,80,A,
366563000,2022-09-26T21:30:43,37.79336,-122.30022,0.0,184.0,272,MAHIMAHI,IMO7907996,WHRN,70,5,262.0,32.0,10.699999809265137,70,A,
366563000,2022-09-26T21:30:46,38.54683,-124.25645,20.86930110297773,119.3000030517578,119,MAHIMAHI,IMO7907996,WHRN,70,0,262.0,32.0,10.699999809265137,70,A,
366563000,2022-09-26T21:33:16,38.53928,-124.24065,20.86930110297773,120.8000030517578,118,MAHIMAHI,IMO7907996,WHRN,70,0,262.0,32.0,10.699999809265137,70,A,
366563000,2022-09-26T21:45:44,37.79338,-122.30024,0.0289521245850806,177.60000610351562,272,MAHIMAHI,IMO7907996,WHRN,70,5,262.0,32.0,10.699999809265137,70,A,
369540000,2022-09-30T10:18:47,37.76658,-122.34773,0.3728436874028707,44.900001525878906,333,POLAR RESOLUTION,IMO9193563,WDJK,80,1,272.0,46.0,17.5,80,A,
369540000,2022-09-30T12:15:09,38.0545,-122.31007,9.739994857008588,78.0999984741211,78,POLAR RESOLUTION,IMO9193563,WDJK,80,0,272.0,46.0,17.5,80,A,
353592000,2022-10-01T10:20:00,37.81257,-122.32542,6.592076470993407,31.0,74,HANOI BRIDGE,IMO9588093,3FHS3,70,0,334.0,45.0,14.0,73,A,
353592000,2022-10-01T11:19:27,37.83108,-122.46112,6.592076470993407,225.0,229,HANOI BRIDGE,IMO9588093,3FHS3,70,0,334.0,45.0,14.0,73,A,
563047700,2024-02-20T17:08:16,37.91776,-122.36368,0.0311107614511605,342.70001220703125,299,MP MR TANKER1,IMO9472763,9V5439,81,5,183.0,32.0,9.300000190734863,89,A,
563047700,2024-02-20T17:09:17,35.80284,-122.0249,4.778511922343263,335.0,333,MP MR TANKER1,IMO9472763,9V5439,81,0,183.0,32.0,9.300000190734863,89,A,
563047700,2024-02-20T17:10:57,35.80488,-122.02595,4.778511922343263,336.20001220703125,333,MP MR TANKER1,IMO9472763,9V5439,81,0,183.0,32.0,9.300000190734863,89,A,
563047700,2024-02-20T17:11:18,37.91779,-122.36364,0.037046168609286,342.70001220703125,299,MP MR TANKER1,IMO9472763,9V5439,81,5,183.0,32.0,9.300000190734863,89,A,
255805869,2024-05-30T22:18:56,37.81231,-122.32101,0.0248573574359377,197.5,220,MSC GIULIA,IMO9770737,CQZP,74,5,299.0,48.0,10.399999618530272,74,A,
255805869,2024-05-30T22:19:52,38.2068,-123.68289,8.36225085169712,114.0999984741211,97,MSC GIULIA,IMO9770737,CQZP,74,0,299.0,48.0,10.399999618530272,74,A,
255805869,2024-05-30T22:21:22,38.20527,-123.67891,8.36225085169712,117.0999984741211,94,MSC GIULIA,IMO9770737,CQZP,74,0,299.0,48.0,10.399999618530272,74,A,
255805869,2024-05-30T22:24:56,37.81238,-122.32099,0.0414087015322133,197.5,220,MSC GIULIA,IMO9770737,CQZP,74,5,299.0,48.0,10.399999618530272,74,A,
