UNIQUE_IDENTIFIER,NUM_NEARBY_SHIPS
01 000001014002450,0
01 000001331700710,0
01 000406,0
01 001387,0
01 001901,0
01 002035,0
01 002273,0
01 004754,0
01 005089,0
01 005203,0
01 006201,0
01 006335,0
01 006378,0
01 006628,0
01 006932,0
01 007320,0
01 007339,0
01 007379,0
01 007641,0
01 007723,0
01 007850,0
01 007851,0
01 007979,0
01 008708,0
01 008714,10026
01 008809,0
01 008868,0
01 009187,0
01 009364,0
01 009987,0
01 010340,0
01 010501,0
01 010502,0
01 010641,0
01 010773,0
01 010807,0
01 010808,0
01 010880,0
01 010882,0
01 010883,0
01 010942,0
01 010943,0
01 011201,0
01 011551,1
01 011573,0
01 011574,0
01 011657,0
01 011702,747
01 011785,0
01 011930,19149
01 011931,19149
01 011967,0
01 012321,2
01 012322,2
01 012363,0
01 012386,0
01 012835,18591
01 013319,0
01 013355,1
01 013393,0
01 013525,0
01 013601,0
01 013645,0
01 013831,0
01 014286,0
01 014533,0
01 014682,0
01 014957,0
01 015430,7104
01 015870,0
01 015972,0
01 015977,0
01 016035,10110
01 016203,0
01 016368,0
01 016564,0
01 016604,0
01 016605,0
01 016718,0
01 017328,0
01 017329,0
01 017406,0
01 017788,0
01 017789,0
01 017906,0
01 017939,1
01 017944,0
01 017952,0
01 018006,0
01 018085,0
01 018101,0
01 018214,0
01 018319,0
01 018472,0
01 018641,0
01 018828,0
01 019174,0
01 019223,0
01 019224,0
01 020773,0
01 020851,0
01 020913,0
01 021034,0
01 021044,0
01 021167,0
01 021177,0
01 021233,0
01 021242,0
01 021280,0
01 021286,0
01 021308,0
01 021362,0
01 021380,0
01 021481,0
01 021505,0
01 021756,0
01 021757,0
01 021758,0
01 021759,0
01 021760,0
01 021761,0
01 021762,0
01 021763,0
01 021764,0
01 021834,0
01 021843,0
01 5570028P0000000,0
02 0201,0
02 0202,0
02 0231,0
02 0245,0
02 0263,0
02 0271,0
02 0347,0
02 0387,1
02 0525,0
02 0532,0
02 0740,0
02 0747,8
02 0959,0
02 1017,0
02 1149,0
02 1161,0
02 1189,876
02 1191,0
02 1212,0
02 1213,0
02 1386,673
02 1690,0
02 1691,0
02 1902,0
02 1913,0
02 CEPPOAAK0001002,0
04 01488,0
04 02539,0
04 10221,0
04 10618,0
04 VHA10-E,0
04 VHA10-W,0
05 000000000002271,0
05 000000000002466,0
05 000000000002899,0
05 000000000003156,0
05 000000000003609,0
05 000000000003922,0
05 000000000003929,0
05 000000000004390,0
05 000000000004856,0
05 000000000005050,0
05 000000000005064,0
05 000000000005121,0
05 000000000005141,0
05 000000000005176,0
05 000000000005211,0
05 000000000005275,0
05 000000000005292,0
05 000000000005320,0
05 000000000005348,0
05 000000000005432,0
05 000000000005534,0
05 000000000005552,0
05 000000000005600,0
05 000000000005661,0
05 000000000005668,0
05 000000000005705,0
05 000000000005769,0
05 000000000005770,0
05 000000000005823,0
05 000000000005825,0
05 000000000005898,0
05 000000000005899,0
05 000000000005912,0
05 000000000006021,0
05 000000000006174,0
05 000000000006303,0
05 000000000006316,0
05 000000000006362,0
05 000000000006447,0
05 000000000006675,0
05 000000000006731,0
05 000000000006748,0
05 000000000006830,0
05 000000000007100,0
05 000000000007263,0
05 000000000007289,0
05 000000000007292,0
05 000000000007316,0
05 000000000007335,0
05 000000000007343,0
05 000000000023753,0
05 000000000023830,0
05 000000000024322,0
05 0000000000A1210,0
05 0000000000A3313,0
05 0000000000A6021,0
05 0000000000A6362,0
05 0000000000A7490,0
05 0000000000B3313,0
05 0000000000B7490,0
05 AHTD00000005279,0
05 AHTD00000005897,0
05 AHTD00000017769,0
05 CEPSWLARSANDERS,0
06 04 0022L,0
06 04 0022R,0
06 04 0228,0
06 04 0229,0
06 04 0230,0
06 06C0019,0
06 06C0136L,0
06 06C0136R,0
06 10 0130,0
06 10 0136,0
