Name,Pier Number,Center X (Longitude),Center Y (Latitude),Pier Length,Pier Width
DULUTH LIFT BRIDGE (MN),NaN,NaN,NaN,NaN,NaN
JOHN A BLATNIK BRIDGE (MN-WI),1,-92.1013889,46.7497222,25,4
JOHN A BLATNIK BRIDGE (MN-WI),2,-92.1002778,46.7483333,25,4
DELAWARE MEMORIAL BRIDGE (DE-NJ),1,-75.521549,39.690134,30,2
DELAWARE MEMORIAL BRIDGE (DE-NJ),2,-75.514524,39.687807,30,2
TALMADGE MEMORIAL BRIDGE (GA),1,-81.098068,32.089738,26,6
DAMES POINT BRIDGE (FL),1,-81.557612,30.386376,40,10
DAMES POINT BRIDGE (FL),2,-81.55763,30.38618,40,10
VINCENT THOMAS BRIDGE (CA),NaN,NaN,NaN,NaN,NaN
RAINBOW BRIDGE (TX),1,-93.871454,29.981408,40,7
RAINBOW BRIDGE (TX),2,-93.871822,29.979566,40,7
VETRANS MEMORIAL BRIDGE (TX),1,-93.870166,29.981154,24,3
VETRANS MEMORIAL BRIDGE (TX),2,-93.870502,29.979424,24,3
GULFGATE BRIDGE (TX),1,-93.945456,29.853966,15,4
GULFGATE BRIDGE (TX),2,-93.943857,29.852797,15,4
BAYONNE BRIDGE (NY-NJ),1,-74.143056,40.639444,21,60
BAYONNE BRIDGE (NY-NJ),2,-74.141111,40.643889,21,60
VERRAZZANO NARROWS BRIDGE (NY),1,-74.052509,40.604064,50,15
VERRAZZANO NARROWS BRIDGE (NY),2,-74.038385,40.608626,50,15
GOLDEN GATE BRIDGE (CA),1,-122.477879,37.813814,34,20
GOLDEN GATE BRIDGE (CA),2,-122.479248,37.825521,34,20
SAN FRANCISCO OAKLAND BAY BRIDGE (CA),1,-122.3858505,37.7906325,26,11
SAN FRANCISCO OAKLAND BAY BRIDGE (CA),2,-122.380663,37.796742,26,11
SAN FRANCISCO OAKLAND BAY BRIDGE (CA),3,-122.377863,37.798217,26,60
SAN FRANCISCO OAKLAND BAY BRIDGE (CA),4,-122.375063,37.800673,26,11
SAN FRANCISCO OAKLAND BAY BRIDGE (CA),5,-122.36991,37.805527,26,11
HUEY P LONG BRIDGE (LA),1,-90.166717,29.942449,18,8.25
HUEY P LONG BRIDGE (LA),2,-90.168461,29.943992,18,8.25
HUEY P LONG BRIDGE (LA),3,-90.169681,29.944986,18,7
CRESCENT CITY CONNECTION GREATER NEW ORLEANS BRIDGE (LA),1,-90.059065,29.937844,37,9
HALE BOGGS MEMORIAL BRIDGE (LA),1,-90.375583,29.939577,46,10
HALE BOGGS MEMORIAL BRIDGE (LA),2,-90.373793,29.942595,46,10
HORACE WILKINSON BRIDGE (LA),1,-91.196552,30.439496,46,7
HORACE WILKINSON BRIDGE (LA),2,-91.194683,30.43943,34,6
SUNSHINE BRIDGE (LA),1,-90.915017,30.097479,22,5
SUNSHINE BRIDGE (LA),2,-90.912559,30.097939,22,5
SUNSHINE BRIDGE (LA),3,-90.910008,30.098386,22,5
GRAMERCY BRIDGE (LA),1,-90.671986,30.044863,25,5
GRAMERCY BRIDGE (LA),2,-90.674105,30.048425,25,5
FRED HARTMAN BRIDGE (TX),1,-95.018224,29.702615,34,7
TEXAS BELTWAY 8 BRIDGE (TX),1,-95.146344,29.734807,12,6
TEXAS BELTWAY 8 BRIDGE (TX),2,-95.14611,29.736844,12,6
CHESAPEAKE BAY BRIDGE (MD),1,-76.38495,38.993862,15,3
CHESAPEAKE BAY BRIDGE (MD),2,-76.379562,38.992594,15,3
FRANCIS SCOTT KEY BRIDGE (MD),1,-76.5297631,39.2158769,25,20
FRANCIS SCOTT KEY BRIDGE (MD),2,-76.5267972,39.2182334,25,20
