Bridge Name,Lane Center
DULUTH LIFT BRIDGE (MN),0.595
JOHN A BLATNIK BRIDGE (MN-WI),0.425
DELAWARE MEMORIAL BRIDGE (DE-NJ),0.575
TALMADGE MEMORIAL BRIDGE (GA),0.525
DAMES POINT BRIDGE (FL),0.475
VINCENT THOMAS BRIDGE (CA),0.48
RAINBOW BRIDGE (TX),0.15
VETRANS MEMORIAL BRIDGE (TX),0.45
GULFGATE BRIDGE (TX),0.425
BAYONNE BRIDGE (NY-NJ),0.5
VERRAZZANO NARROWS BRIDGE (NY),0.45
GOLDEN GATE BRIDGE (CA),0.55
SAN FRANCISCO OAKLAND BAY BRIDGE (CA),0.5
HUEY P LONG BRIDGE (LA),0.5
CRESCENT CITY CONNECTION GREATER NEW ORLEANS BRIDGE (LA),0.575
HALE BOGGS MEMORIAL BRIDGE (LA),0.5
HORACE WILKINSON BRIDGE (LA),0.425
SUNSHINE BRIDGE (LA),0.475
GRAMERCY BRIDGE (LA),0.45
FRED HARTMAN BRIDGE (TX),0.695
TEXAS BELTWAY 8 BRIDGE (TX),0.45
CHESAPEAKE BAY BRIDGE (MD),0.65
FRANCIS SCOTT KEY BRIDGE (MD),0.425
